StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
22,Moss and Rib Block 1,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=22,1,R,"k3, p1, k3*","p2, k1, p2, k3, p1, k3",*,
22,Moss and Rib Block 1,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=22,2,W,*,Knit the knit stitches and purl the purl stitches,*,
22,Moss and Rib Block 1,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=22,3,R,"k2, p1, k1, p1, k2*","p2, k1, p2, k2, p1, k1, p1, k2",*,
22,Moss and Rib Block 1,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=22,4,W,*,Knit the knit stitches and purl the purl stitches,*,
22,Moss and Rib Block 1,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=22,5,R,"(k1, p1) 3 times, k1*","p2, k1, p2, (k1, p1) 3 times, k1",*,
22,Moss and Rib Block 1,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=22,6,W,*,Knit the knit stitches and purl the purl stitches,*,
22,Moss and Rib Block 1,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=22,7,R,"k2, p1, k1, p1, k2*","p2, k1, p2, k2, p1, k1, p1, k2",*,
22,Moss and Rib Block 1,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=22,8,W,*,Knit the knit stitches and purl the purl stitches,*,
22,Moss and Rib Block 1,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=22,9,R,"k3, p1, k3*","p2, k1, p2, k3, p1, k3",*,
22,Moss and Rib Block 1,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=22,10,W,*,Knit the knit stitches and purl the purl stitches,*,
22,Moss and Rib Block 1,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=22,11,R,"(k1, p2) twice*","k3, p1, k3, p2, k1, p2",*,k1
22,Moss and Rib Block 1,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=22,12,W,*,Knit the knit stitches and purl the purl stitches,*,
22,Moss and Rib Block 1,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=22,13,R,"(k1, p2) twice*","k2, p1, k1, p1, k2, p2, k1, p2",*,k1
22,Moss and Rib Block 1,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=22,14,W,*,Knit the knit stitches and purl the purl stitches,*,
22,Moss and Rib Block 1,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=22,15,R,"(k1, p2) twice*","(k1, p1) 3 times, (k1, p2) twice",*,k1
22,Moss and Rib Block 1,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=22,16,W,*,Knit the knit stitches and purl the purl stitches,*,
22,Moss and Rib Block 1,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=22,17,R,"(k1, p2) twice*","k2, p1, k1, p1, k2, p2, k1, p2",*,k1
22,Moss and Rib Block 1,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=22,18,W,*,Knit the knit stitches and purl the purl stitches,*,
22,Moss and Rib Block 1,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=22,19,R,"(k1, p2) twice*","k3, p1, k3, p2, k1, p2",*,k1
22,Moss and Rib Block 1,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=22,20,W,*,Knit the knit stitches and purl the purl stitches,*,
