StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
239,Woven Check,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=239,1,R,"k9, wyif sl 3 purlwise"
239,Woven Check,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=239,2,W,purl
239,Woven Check,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=239,3,R,"k9, wyif sl 3 purlwise"
239,Woven Check,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=239,4,W,purl
239,Woven Check,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=239,5,R,"k9, wyif sl 3 purlwise"
239,Woven Check,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=239,6,W,purl
239,Woven Check,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=239,7,R,"k9, wyif sl 3 purlwise"
239,Woven Check,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=239,8,W,purl
239,Woven Check,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=239,9,R,"k9, wyif sl 3 purlwise"
239,Woven Check,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=239,10,W,purl
239,Woven Check,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=239,11,R,"(k1, wyif sl 3 purlwise) 3 times"
239,Woven Check,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=239,12,W,purl
239,Woven Check,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=239,13,R,"(k1, wyif sl 3 purlwise) 3 times"
239,Woven Check,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=239,14,W,purl
239,Woven Check,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=239,15,R,"(k1, wyif sl 3 purlwise) 3 times"
239,Woven Check,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=239,16,W,purl
