StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat,End Row
26,Ribbing Diamonds,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=26,1,R,"k2, (p1, k1) 8 times,",k1
26,Ribbing Diamonds,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=26,2,W,Knit the knit stitches and purl the purl stitches,
26,Ribbing Diamonds,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=26,3,R,"k4, (p1, k1) 6 times, k2",k1
26,Ribbing Diamonds,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=26,4,W,Knit the knit stitches and purl the purl stitches,
26,Ribbing Diamonds,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=26,5,R,"k6, (p1, k1) 4 times, k4",k1
26,Ribbing Diamonds,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=26,6,W,Knit the knit stitches and purl the purl stitches,
26,Ribbing Diamonds,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=26,7,R,"k1, p1, k6, p1, k1, p1, k6, p1",k1
26,Ribbing Diamonds,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=26,8,W,Knit the knit stitches and purl the purl stitches,
26,Ribbing Diamonds,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=26,9,R,"(k1, p1) twice, k11, p1, k1, p1",k1
26,Ribbing Diamonds,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=26,10,W,Knit the knit stitches and purl the purl stitches,
26,Ribbing Diamonds,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=26,11,R,"(k1, p1) 3 times, k7, (p1, k1) twice, p1",k1
26,Ribbing Diamonds,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=26,12,W,Knit the knit stitches and purl the purl stitches,
26,Ribbing Diamonds,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=26,13,R,"(k1, p1) 4 times, k3, (p1, k1) 3 times, p1",k1
26,Ribbing Diamonds,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=26,14,W,Knit the knit stitches and purl the purl stitches,
26,Ribbing Diamonds,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=26,15,R,"(k1, p1) 3 times, k7, (p1, k1) twice, p1",k1
26,Ribbing Diamonds,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=26,16,W,Knit the knit stitches and purl the purl stitches,
26,Ribbing Diamonds,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=26,17,R,"(k1, p1) twice, k11, p1, k1, p1",k1
26,Ribbing Diamonds,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=26,18,W,Knit the knit stitches and purl the purl stitches,
26,Ribbing Diamonds,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=26,19,R,"k1, p1, k6, p1, k1, p1, k6, p1",k1
26,Ribbing Diamonds,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=26,20,W,Knit the knit stitches and purl the purl stitches,
26,Ribbing Diamonds,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=26,21,R,"k6, (p1, k1) 4 times, k4",k1
26,Ribbing Diamonds,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=26,22,W,Knit the knit stitches and purl the purl stitches,
26,Ribbing Diamonds,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=26,23,R,"k4, (p1, k1) 6 times, k2",k1
26,Ribbing Diamonds,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=26,24,W,Knit the knit stitches and purl the purl stitches,
