StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *
316,Three-Color Tweed,Multiple of 2 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=316,1,R,B,k1*,"sl 1 wyif, k1",*
316,Three-Color Tweed,Multiple of 2 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=316,2,W,B,*,purl,*
316,Three-Color Tweed,Multiple of 2 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=316,3,R,A,k1*,"sl 1 wyib, k1",*
316,Three-Color Tweed,Multiple of 2 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=316,4,W,A,*,purl,*
316,Three-Color Tweed,Multiple of 2 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=316,5,R,C,k1*,"sl 1 wyif, k1",*
316,Three-Color Tweed,Multiple of 2 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=316,6,W,C,*,purl,*
316,Three-Color Tweed,Multiple of 2 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=316,7,R,B,k1*,"sl 1 wyib, k1",*
316,Three-Color Tweed,Multiple of 2 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=316,8,W,B,*,purl,*
316,Three-Color Tweed,Multiple of 2 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=316,9,R,A,k1*,"sl 1 wyif, k1",*
316,Three-Color Tweed,Multiple of 2 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=316,10,W,A,*,purl,*
316,Three-Color Tweed,Multiple of 2 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=316,11,R,C,k1*,"sl 1 wyib, k1",*
316,Three-Color Tweed,Multiple of 2 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=316,12,W,C,*,purl,*
