StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *,End Row
343,Tri-color Basket,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=343,1,R,A,*,knit,*,
343,Tri-color Basket,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=343,2,W,A,"k3, insert needle into next stitch as if to knit and wrap yarn 3 times around the point of the needle, then knit the stitch carrying extra loops on needle*","k7; insert needle into next stitch as if to knit and wrap yarn 3 times around the point of the needle, then knit the stitch carrying extra loops on needle;",*,k3
343,Tri-color Basket,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=343,3,R,B,"k3, sl 1 wyib dropping extra loops*","k7, sl 1 wyib dropping extra loops",*,k3
343,Tri-color Basket,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=343,4,W,B,"p3, sl 1 wyif*","p7, sl 1 wyif",*,p3
343,Tri-color Basket,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=343,5,R,C,"k3, sl 1 wyib*","k7, sl 1 wyib",*,k3
343,Tri-color Basket,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=343,6,W,C,*,"k3, sl 1 wyif, k3; insert needle into next stitch as if to knit and wrap yarn 3 times around the point of the needle, then knit the stitch carrying extra loops on needle",*,"k3, sl 1 wyif, k3"
343,Tri-color Basket,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=343,7,R,B,*,"k3, sl 1 wyib, k3, sl 1 wyib, dropping extra wraps",*,"k3, sl 1 wyib, k3"
343,Tri-color Basket,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=343,8,W,B,p3*,"sl 1 wyif, p3",*,
343,Tri-color Basket,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=343,9,R,A,k7*,"sl 1 wyib, k7",*,
343,Tri-color Basket,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=343,10,W,A,*,"k3; insert needle into next stitch as if to knit and wrap yarn 3 times around the point of the needle, then knit the stitch carrying extra loops on needle; k3, sl 1 wyif",*,"k3; insert needle into next stitch as if to knit and wrap yarn 3 times around the point of the needle, then knit the stitch carrying extra loops on needle; k3"
343,Tri-color Basket,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=343,11,R,B,*,"k3, sl 1 wyib, dropping extra wraps, k3, sl 1 wyib",*,"k3, k3, sl 1 wyib, dropping extra wraps, k3"
343,Tri-color Basket,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=343,12,W,B,p3*,"sl 1 wyif, p3",*,
