StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *,End Row
351,Sherwood,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=351,1,R,A,*,knit,*,
351,Sherwood,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=351,2,W,A,*,purl,*,
351,Sherwood,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=351,3,R,B,k3*,"sl 1 wyib, k3",*,
351,Sherwood,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=351,4,W,B,k3*,"sl 1 wyif, k3",*,
351,Sherwood,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=351,5,R,C,k1*,"sl 1 wyib, k3",*,"sl 1, k1"
351,Sherwood,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=351,6,W,C,k1*,"sl 1 wyif, k3",*,"sl 1, k1"
351,Sherwood,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=351,7,R,A,k3*,"sl 1 wyib, k3",*,
351,Sherwood,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=351,8,W,A,"p1, k1, p1*","sl 1 wyif, p1, k1, p1",*,
351,Sherwood,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=351,9,R,B,*,knit,*,
351,Sherwood,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=351,10,W,B,*,purl,*,
351,Sherwood,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=351,11,R,C,k3*,"sl 1 wyib, k3",*,
351,Sherwood,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=351,12,W,C,k3*,"sl 1 wyif, k3",*,
351,Sherwood,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=351,13,R,A,k1*,"sl 1 wyib, k3",*,"sl 1, k1"
351,Sherwood,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=351,14,W,A,k1*,"sl 1 wyif, k3",*,"sl 1, k1"
351,Sherwood,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=351,15,R,B,k3*,"sl 1 wyib, k3",*,
351,Sherwood,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=351,16,W,B,"p1, k1, p1*","sl 1 wyif, p1, k1, p1",*,
351,Sherwood,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=351,17,R,C,*,knit,*,
351,Sherwood,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=351,18,W,C,*,purl,*,
351,Sherwood,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=351,19,R,A,k3*,"sl 1 wyib, k3",*,
351,Sherwood,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=351,20,W,A,k3*,"sl 1 wyif, k3",*,
351,Sherwood,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=351,21,R,B,k1*,"sl 1 wyib, k3",*,"sl 1, k1"
351,Sherwood,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=351,22,W,B,k1*,"sl 1 wyif, k3",*,"sl 1, k1"
351,Sherwood,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=351,23,R,C,k3*,"sl 1 wyib, k3",*,
351,Sherwood,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=351,24,W,C,"p1, k1, p1*","sl 1 wyif, p1, k1, p1",*,
