StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *,End Row
362,Petal Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=362,1,R,A,*,knit,*,
362,Petal Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=362,2,W,A,k1*,Purl 1 wrapping the yarn twice; k5; purl 1 wrapping the yarn twice; k1,*,
362,Petal Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=362,3,R,B,k1*,Slip 1 wyib dropping the extra wrap; k5; slip 1 wyib dropping the extra wrap; k1,*,
362,Petal Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=362,4,W,B,p1*,"sl 1 wyif, p5, sl 1 wyif, p1",*,
362,Petal Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=362,5,R,B,k1*,"sl 1 wyib, k5, sl 1 wyib, k1",*,
362,Petal Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=362,6,W,B,p1*,"sl 1 wyif, p5, sl 1 wyif, p1",*,
362,Petal Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=362,7,R,A,k1*,"Drop the Color A slip stitch off the needle to the front of the work; k2; pick up the dropped stitch and knit it; k1, s1 2 wyib; drop the next Color A slip stitch off the needle, slip the same two stitches (the two you just slipped wyib) back to the left-hand needle, pick up the dropped stitch and knit it; k2, sl 1 wyib",*,k1
362,Petal Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=362,8,W,A,k3*,"p1, k1, p1, k2, sl 1 wyif, k2",*,"p1, k1, p1, k3"
362,Petal Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=362,9,R,A,*,knit,*,
362,Petal Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=362,10,W,A,k3*,"p1 wrapping yarn twice, k1, p1 wrapping yarn twice, k5",*,k3
362,Petal Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=362,11,R,B,k3*,Slip 1 wyib dropping the extra wrap; k1; slip 1 wyib dropping the extra wrap; k5,*,k3
362,Petal Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=362,12,W,B,p3*,"sl 1 wyif, p1, sl 1 wyif, p5",*,"sl 1 wyif, p1, sl 1 wyif, p3"
362,Petal Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=362,13,R,B,k3*,"sl 1 wyib, k1, sl 1 wyib, k5",*,"sl 1 wyib, k1, sl 1 wyib, k3"
362,Petal Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=362,14,W,B,p3*,"sl 1 wyif, p1, sl 1 wyif, p5",*,"sl 1 wyif, p1, sl 1 wyif, p3"
362,Petal Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=362,15,R,A,k1*,"sl 2 wyib; drop the next Color A slip stitch off the needle, slip the same two stitches (the two you just slipped wyib) back to the left-hand needle, pick up the dropped stitch and knit it.; k2, sl 1 wyib; drop next Color A slip stitch off needle, knit 2, then pick up the dropped stitch and knit it.; k1",*,
362,Petal Quilting,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=362,16,W,A,k1*,"p1, k2, sl 1 wyif, k2, p1, k1",*,
