StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *,End Row
372,Three-and-One 1,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=372,1,R,A,*,knit,*,
372,Three-and-One 1,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=372,2,W,A,*,knit,*,
372,Three-and-One 1,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=372,3,R,B,k3*,"sl 1 wyib, k3",*,
372,Three-and-One 1,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=372,4,W,B,k3*,"sl 1 wyif, k3",*,
372,Three-and-One 1,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=372,5,R,A,k1*,"sl 1 wyib, k3",*,"sl 1 wyib, k1"
372,Three-and-One 1,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=372,6,W,A,k1*,"sl 1 wyif, k3",*,"sl 1 wyif, k1"
372,Three-and-One 1,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=372,7,R,B,k2*,"sl 1 wyib, k1",*,k1
372,Three-and-One 1,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=372,8,W,B,k2*,"sl 1 wyif, k1",*,k1
372,Three-and-One 1,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=372,9,R,A,k3*,"sl 1 wyib, k3",*,
372,Three-and-One 1,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=372,10,W,A,k3*,"sl 1 wyif, k3",*,
372,Three-and-One 1,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=372,11,R,B,k1*,"sl 1 wyib, k3",*,"sl 1 wyib, k1"
372,Three-and-One 1,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=372,12,W,B,k1*,"sl 1 wyif, k3",*,"sl 1 wyif, k1"
372,Three-and-One 1,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=372,13,R,A,*,knit,*,
372,Three-and-One 1,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=372,14,W,A,*,knit,*,
372,Three-and-One 1,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=372,15,R,B,k1*,"sl 1 wyib, k3",*,"sl 1 wyib, k1"
372,Three-and-One 1,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=372,16,W,B,k1*,"sl 1 wyif, k3",*,"sl 1 wyif, k1"
372,Three-and-One 1,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=372,17,R,A,k3*,"sl 1 wyib, k3",*,
372,Three-and-One 1,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=372,18,W,A,k3*,"sl 1 wyif, k3",*,
372,Three-and-One 1,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=372,19,R,B,k2*,"sl 1 wyib, k1",*,k1
372,Three-and-One 1,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=372,20,W,B,k2*,"sl 1 wyif, k1",*,k1
372,Three-and-One 1,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=372,21,R,A,k1*,"sl 1 wyib, k3",*,"sl 1 wyib, k1"
372,Three-and-One 1,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=372,22,W,A,k1*,"sl 1 wyif, k3",*,"sl 1 wyif, k1"
372,Three-and-One 1,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=372,23,R,B,k3*,"sl 1 wyib, k3",*,
372,Three-and-One 1,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=372,24,W,B,k3*,"sl 1 wyif, k3",*,
