StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat,End Row
401,401 Over Twice Cable 1,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=401,1,W,"k2, p6",k2
401,401 Over Twice Cable 1,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=401,2,R,"p2, k6",p2
401,401 Over Twice Cable 1,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=401,3,W,"k2, p6",k2
401,401 Over Twice Cable 1,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=401,4,R,"p2, k6",p2
401,401 Over Twice Cable 1,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=401,5,W,"k2, p6",k2
401,401 Over Twice Cable 1,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=401,6,R,"p2, 4FC, k2",p2
401,401 Over Twice Cable 1,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=401,7,W,"k2, p6",k2
401,401 Over Twice Cable 1,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=401,8,R,"p2, k2, 4BC",p2
401,401 Over Twice Cable 1,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=401,9,W,"k2, p6",k2
401,401 Over Twice Cable 1,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=401,10,R,"p2, 4FC, k2",p2
401,401 Over Twice Cable 1,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=401,11,W,"k2, p6",k2
401,401 Over Twice Cable 1,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=401,12,R,"p2, k2, 4BC",p2
401,401 Over Twice Cable 1,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=401,13,W,"k2, p6",k2
401,401 Over Twice Cable 1,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=401,14,R,"p2, k6",p2
401,401 Over Twice Cable 1,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=401,15,W,"k2, p6",k2
401,401 Over Twice Cable 1,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=401,16,R,"p2, k6",p2
