StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *,End Row
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,1,R,B,k1*,"k10, sl 1 wyib, k3, sl 1 wyib, k7",*,k1
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,2,W,B,*,knit the knit stitches and slip all the slipped stitches with yarn in front,*,
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,3,R,A,k1*,"(k1, sl 1 wyib) 4 times, k3, sl 1 wyib, k1, sl 1 wyib, k3, (sl 1 wyib, k1) twice, sl 1 wyib",*,k1
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,4,W,A,*,knit the knit stitches and slip all the slipped stitches with yarn in front,*,
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,5,R,B,k1*,"k8, (sl 1 wyib, k3) twice, sl 1 wyib, k5",*,k1
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,6,W,B,*,knit the knit stitches and slip all the slipped stitches with yarn in front,*,
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,7,R,A,k1*,"(k1, sl 1 wyib) 3 times, k3, sl 1 wyib, k5, sl 1 wyib, k3, sl 1 wyib, k1, sl 1 wyib",*,k1
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,8,W,A,*,knit the knit stitches and slip all the slipped stitches with yarn in front,*,
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,9,R,B,k1*,"k6, sl 1 wyib, k3, (sl 1 wyib, k1) twice, (sl 1 wyib, k3) twice",*,k1
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,10,W,B,*,knit the knit stitches and slip all the slipped stitches with yarn in front,*,
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,11,R,A,k1*,"(k1, sl 1 wyib) twice, k3, sl 1 wyib, k9, sl 1 wyib, k3, sl 1 wyib",*,k1
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,12,W,A,*,knit the knit stitches and slip all the slipped stitches with yarn in front,*,
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,13,R,B,k1*,"k4, sl 1 wyib, k3, (sl 1 wyib, k1) 4 times, sl 1 wyib, k3, sl 1 wyib, k1",*,k1
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,14,W,B,*,knit the knit stitches and slip all the slipped stitches with yarn in front,*,
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,15,R,A,k1*,"k1, sl 1 wyib, k3, sl 1 wyib, k13, sl 1 wyib, k2",*,k1
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,16,W,A,*,knit the knit stitches and slip all the slipped stitches with yarn in front,*,
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,17,R,B,k1*,"sl 1 wyib, k1, sl 1 wyib, k3, (sl 1 wyib, k1) 6 times, sl 1 wyib, k3",*,k1
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,18,W,B,*,knit the knit stitches and slip all the slipped stitches with yarn in front,*,
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,19,R,A,k1*,"k3, sl 1 wyib, k17, sl 1 wyib",*,k1
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,20,W,A,*,knit the knit stitches and slip all the slipped stitches with yarn in front,*,
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,21,R,B,k1*,"k2, sl 1 wyib, k17, sl 1 wyib, k1",*,k1
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,22,W,B,*,knit the knit stitches and slip all the slipped stitches with yarn in front,*,
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,23,R,A,k1*,"k1, sl 1 wyib, k3, (sl 1 wyib, k1) 6 times, sl 1 wyib, k3, sl 1 wyib",*,k1
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,24,W,A,*,knit the knit stitches and slip all the slipped stitches with yarn in front,*,
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,25,R,B,k1*,"sl 1 wyib, k3, sl 1 wyib, k13, sl 1 wyib, k3",*,k1
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,26,W,B,*,knit the knit stitches and slip all the slipped stitches with yarn in front,*,
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,27,R,A,k1*,"(k3, sl 1 wyib) twice, (k1, sl 1 wyib) 4 times, k3, sl 1 wyib, k2",*,k1
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,28,W,A,*,knit the knit stitches and slip all the slipped stitches with yarn in front,*,
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,29,R,B,k1*,"sl 1 wyib, k1, sl 1 wyib, k3, sl 1 wyib, k9, sl 1 wyib, k3, sl 1 wyib, k1",*,k1
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,30,W,B,*,knit the knit stitches and slip all the slipped stitches with yarn in front,*,
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,31,R,A,k1*,"k5, sl 1 wyib, k3, (sl 1 wyib, k1) twice, sl 1 wyib, k3, sl 1 wyib, k4",*,k1
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,32,W,A,*,knit the knit stitches and slip all the slipped stitches with yarn in front,*,
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,33,R,B,k1*,"(sl 1 wyib, k1) twice, sl 1 wyib, k3, sl 1 wyib, k5, sl 1 wyib, k3, (sl 1 wyib, k1) twice",*,k1
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,34,W,B,*,knit the knit stitches and slip all the slipped stitches with yarn in front,*,
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,35,R,A,k1*,"k7, (sl 1 wyib, k3) twice, sl 1 wyib, k6",*,k1
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,36,W,A,*,knit the knit stitches and slip all the slipped stitches with yarn in front,*,
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,37,R,B,k1*,"(sl 1 wyib, k1) 3 times, sl 1 wyib, k3, sl 1 wyib, k1, sl 1 wyib, k3, (sl 1 wyib, k1) 3 times",*,k1
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,38,W,B,*,knit the knit stitches and slip all the slipped stitches with yarn in front,*,
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,39,R,A,k1*,"k9, sl 1 wyib, k3, sl 1 wyib, k8",*,k1
413,Divided Diamond,Multiple of 22 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=413,40,W,A,*,knit the knit stitches and slip all the slipped stitches with yarn in front,*,
