StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *,End Row
417,Odin's Eagles,Multiple of 32 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=417,1,R,B,k2*,"(sl 1 wyib, k1, sl 1 wyib, k3) twice, (sl 1 wyib, k1) 3 times, (sl 1, k3, sl 1 wyib, k1) twice, sl 1 wyib, k1",*,k1
417,Odin's Eagles,Multiple of 32 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=417,2,W,B,*,knit all the stitches knitted in the previous row and slip all the slipped stitches with yarn in front,*,
417,Odin's Eagles,Multiple of 32 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=417,3,R,A,k7*,"sl 1 wyib, k3, sl 1 wyib, k11",*,"sl 1 wyib, k3, sl 1 wyib, k7"
417,Odin's Eagles,Multiple of 32 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=417,4,W,A,*,knit all the stitches knitted in the previous row and slip all the slipped stitches with yarn in front,*,
417,Odin's Eagles,Multiple of 32 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=417,5,R,B,k5*,"sl 2 wyib, k5, sl 2 wyib, k6, sl 1 wyib, k1, sl 1 wyib, k5, sl 1 wyib, k1, sl 1 wyib, k6",*,"sl 2 wyib, k5, sl 2 wyib, k6, sl 1 wyib, k1, sl 1 wyib, k5, sl 1 wyib, k1, sl 1 wyib, k4"
417,Odin's Eagles,Multiple of 32 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=417,6,W,B,*,knit all the stitches knitted in the previous row and slip all the slipped stitches with yarn in front,*,
417,Odin's Eagles,Multiple of 32 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=417,7,R,A,k2*,"sl 1 wyib, k1, (sl 1 wyib, k4) twice, (sl 1 wyib, k1) twice, (sl 1 wyib, k6) twice, sl 1 wyib, k1",*,k1
417,Odin's Eagles,Multiple of 32 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=417,8,W,A,*,knit all the stitches knitted in the previous row and slip all the slipped stitches with yarn in front,*,
417,Odin's Eagles,Multiple of 32 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=417,9,R,B,*,"k7, sl 1 wyib, k3, sl 1 wyib, k7, (sl 1 wyib, k1) twice, sl 1 wyib, k3, (sl 1 wyib, k1) twice, sl 1 wyib",*,k3
417,Odin's Eagles,Multiple of 32 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=417,10,W,B,*,knit all the stitches knitted in the previous row and slip all the slipped stitches with yarn in front,*,
