StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *,End Row
423,Motley Check,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=423,1,R,A,*,knit,*,
423,Motley Check,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=423,2,W,B,*,purl,*,
423,Motley Check,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=423,3,R,C,k1*,"sl 2 wyib, k4",*,"sl 2 wyib, k1"
423,Motley Check,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=423,4,W,A,p1*,"sl 2 wyif, p4",*,"sl 2 wyif, p1"
423,Motley Check,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=423,5,R,B,*,knit,*,
423,Motley Check,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=423,6,W,C,*,purl,*,
423,Motley Check,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=423,7,R,A,k4*,"sl 2 wyib, k4",*,
423,Motley Check,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=423,8,W,B,p4*,"sl 2 wyif, p4",*,
423,Motley Check,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=423,9,R,C,*,knit,*,
423,Motley Check,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=423,10,W,A,*,purl,*,
423,Motley Check,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=423,11,R,B,k1*,"sl 2 wyib, k4",*,"sl 2 wyib, k1"
423,Motley Check,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=423,12,W,C,p1*,"sl 2 wyif, p4",*,"sl 2 wyif, p1"
423,Motley Check,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=423,13,R,A,*,knit,*,
423,Motley Check,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=423,14,W,B,*,purl,*,
423,Motley Check,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=423,15,R,C,k4*,"sl 2 wyib, k4",*,
423,Motley Check,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=423,16,W,A,p4*,"sl 2 wyif, p4",*,
423,Motley Check,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=423,17,R,B,*,knit,*,
423,Motley Check,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=423,18,W,C,*,purl,*,
423,Motley Check,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=423,19,R,A,k1*,"sl 2 wyib, k4",*,"sl 2 wyib, k1"
423,Motley Check,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=423,20,W,B,p1*,"sl 2 wyif, p4",*,"sl 2 wyif, p1"
423,Motley Check,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=423,21,R,C,*,knit,*,
423,Motley Check,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=423,22,W,A,*,purl,*,
423,Motley Check,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=423,23,R,B,k4*,"sl 2 wyib, k4",*,
423,Motley Check,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=423,24,W,C,p4*,"sl 2 wyif, p4",*,
