StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *,End Row
428,Linked Stripe,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=428,1,R,A,*,knit,*,
428,Linked Stripe,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=428,2,W,A,*,knit,*,
428,Linked Stripe,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=428,3,R,B,k1*,"sl 2 wyib, k2",*,"sl 2 wyib, k1"
428,Linked Stripe,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=428,4,W,B,p1*,"sl 2 wyif, p2",*,"sl 2 wyif, p1"
428,Linked Stripe,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=428,5,R,A,*,knit,*,
428,Linked Stripe,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=428,6,W,A,*,knit,*,
428,Linked Stripe,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=428,7,R,B,k1*,"sl 2 wyib, k2",*,"sl 2 wyib, k1"
428,Linked Stripe,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=428,8,W,B,p1*,"sl 2 wyif, p2",*,"sl 2 wyif, p1"
428,Linked Stripe,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=428,9,R,B,*,knit,*,
428,Linked Stripe,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=428,10,W,B,*,knit,*,
428,Linked Stripe,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=428,11,R,A,k1*,"sl 2 wyib, k2",*,"sl 2 wyib, k1"
428,Linked Stripe,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=428,12,W,A,p1*,"sl 2 wyif, p2",*,"sl 2 wyif, p1"
428,Linked Stripe,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=428,13,R,B,*,knit,*,
428,Linked Stripe,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=428,14,W,B,*,knit,*,
428,Linked Stripe,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=428,15,R,A,k1*,"sl 2 wyib, k2",*,"sl 2 wyib, k1"
428,Linked Stripe,Multiple of 4 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=428,16,W,A,p1*,"sl 2 wyif, p2",*,"sl 2 wyif, p1"
