StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *,End Row
431,Elongated-Stitch Waves,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=431,1,R,A,k1*,"k4 wrapping yarn twice arround needle for each stitch, k4",*,"k4 wrapping yarn twice for each st and dropping extra wraps of previous row, k1"
431,Elongated-Stitch Waves,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=431,2,W,A,p1*,"p4 wrapping yarn twice for each st and dropping the extra wrap of previous row, p4",*,"p4 wrapping yarn twice for each st and dropping the extra wrap of previous row, p1"
431,Elongated-Stitch Waves,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=431,3,R,A,k1*,"k4 wrapping yarn twice for each st and dropping extra wraps of previous row, k4",*,"k4 wrapping yarn twice for each st and dropping extra wraps of previous row, k1"
431,Elongated-Stitch Waves,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=431,4,W,A,p1*,"p4 wrapping yarn twice for each st and dropping the extra wrap of previous row, p4",*,"p4 wrapping yarn twice for each st and dropping the extra wrap of previous row, p1"
431,Elongated-Stitch Waves,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=431,5,R,B,*,"knit all elongated sts once, drop all extra wraps of previous rows",*,
431,Elongated-Stitch Waves,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=431,6,W,B,*,knit,*,
431,Elongated-Stitch Waves,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=431,7,R,A,k5*,"k4 wrapping yarn twice for each st, k4",*,k1
431,Elongated-Stitch Waves,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=431,8,W,A,p5*,"p4 wrapping yarn twice for each st and dropping extra wrap of previous row, p4",*,p1
431,Elongated-Stitch Waves,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=431,9,R,A,k5*,"k4 wrapping yarn twice for each st and dropping extra wrap of previous row, k4",*,k1
431,Elongated-Stitch Waves,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=431,10,W,A,p5*,"p4 wrapping yarn twice for each st and dropping extra wrap of previous row, p4",*,p1
431,Elongated-Stitch Waves,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=431,11,R,B,*,"knit all elongated sts once, drop all extra wraps of previous rows",*,
431,Elongated-Stitch Waves,Multiple of 8 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=431,12,W,B,*,knit,*,
