StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *,End Row
435,Night-and-Day Stripe,Multiple of 4 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=435,1,R,A,*,knit,*,
435,Night-and-Day Stripe,Multiple of 4 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=435,2,W,A,*,purl,*,
435,Night-and-Day Stripe,Multiple of 4 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=435,3,R,B,"k1, sl 1 wyib*","k2, sl 2 wyib",*,"k2, sl 1 wyib, k1"
435,Night-and-Day Stripe,Multiple of 4 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=435,4,W,B,"p1, sl 1 wyif*","p2, sl 2 wyif",*,"p2, sl 1 wyif, p1"
435,Night-and-Day Stripe,Multiple of 4 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=435,5,R,A,*,knit,*,
435,Night-and-Day Stripe,Multiple of 4 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=435,6,W,A,*,purl,*,
435,Night-and-Day Stripe,Multiple of 4 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=435,7,R,B,*,knit,*,
435,Night-and-Day Stripe,Multiple of 4 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=435,8,W,B,*,purl,*,
435,Night-and-Day Stripe,Multiple of 4 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=435,9,R,A,k2*,"sl 2 wyib, k2",*,
435,Night-and-Day Stripe,Multiple of 4 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=435,10,W,A,p2*,"sl 2 wyif, p2",*,
435,Night-and-Day Stripe,Multiple of 4 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=435,11,R,B,*,knit,*,
435,Night-and-Day Stripe,Multiple of 4 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=435,12,W,B,*,purl,*,
