StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
454,Knit and Purl Triangle,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=454,1,R,"k1, p3, k11, p3"
454,Knit and Purl Triangle,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=454,2,W,"p1, k3, p9, k3, p2"
454,Knit and Purl Triangle,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=454,3,R,"k3, p3, k7, p3, k2"
454,Knit and Purl Triangle,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=454,4,W,"p3, k3, p5, k3, p4"
454,Knit and Purl Triangle,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=454,5,R,"k5, p3, k3, p3, k4"
454,Knit and Purl Triangle,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=454,6,W,"p5, k3, p1, k3, p6"
454,Knit and Purl Triangle,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=454,7,R,purl
454,Knit and Purl Triangle,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=454,8,W,"k3, p11, k3, p1"
454,Knit and Purl Triangle,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=454,9,R,"k2, p3, k9, p3, k1"
454,Knit and Purl Triangle,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=454,10,W,"p2, k3, p7, k3, p3"
454,Knit and Purl Triangle,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=454,11,R,"k4, p3, k5, p3, k3"
454,Knit and Purl Triangle,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=454,12,W,"p4, k3, p3, k3, p5"
454,Knit and Purl Triangle,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=454,13,R,"k6, p3, k1, p3, k5"
454,Knit and Purl Triangle,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=454,14,W,knit
