StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
455,Reverse Diagonals,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=455,1,R,"k1, p1, k1, p7"
455,Reverse Diagonals,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=455,2,W,"k7, p1, k1, p1"
455,Reverse Diagonals,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=455,3,R,"k1, p1, k7, p1"
455,Reverse Diagonals,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=455,4,W,"k1, p7, k1, p1"
455,Reverse Diagonals,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=455,5,R,"k1, p7, k1, p1"
455,Reverse Diagonals,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=455,6,W,"k1, p1, k7, p1"
455,Reverse Diagonals,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=455,7,R,"k7, p1, k1, p1"
455,Reverse Diagonals,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=455,8,W,"k1, p1, k1, p7"
455,Reverse Diagonals,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=455,9,R,"p6, k1, p1, k1, p1"
455,Reverse Diagonals,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=455,10,W,"k1, p1, k1, p1, k6"
455,Reverse Diagonals,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=455,11,R,"k3, p1, k1, p1, k4"
455,Reverse Diagonals,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=455,12,W,"p4, k1, p1, k1, p3"
455,Reverse Diagonals,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=455,13,R,"p4, k1, p1, k1, p3"
455,Reverse Diagonals,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=455,14,W,"k3, p1, k1, p1, k4"
455,Reverse Diagonals,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=455,15,R,"k3, p1, k1, p1, k4"
455,Reverse Diagonals,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=455,16,W,"p4, k1, p1, k1, p3"
