StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
477,Diagonal Rib 1,Multiple of 5 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=477,1,R,"p2, k2, p1"
477,Diagonal Rib 1,Multiple of 5 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=477,2,W,"k1, p2, k2"
477,Diagonal Rib 1,Multiple of 5 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=477,3,R,"p1, k2, p2"
477,Diagonal Rib 1,Multiple of 5 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=477,4,W,"k2, p2, k1"
477,Diagonal Rib 1,Multiple of 5 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=477,5,R,"k2, p3"
477,Diagonal Rib 1,Multiple of 5 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=477,6,W,"k3, p2"
477,Diagonal Rib 1,Multiple of 5 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=477,7,R,"k1, p3, k1"
477,Diagonal Rib 1,Multiple of 5 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=477,8,W,"p1, k3, p1"
477,Diagonal Rib 1,Multiple of 5 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=477,9,R,"p3, k2"
477,Diagonal Rib 1,Multiple of 5 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=477,10,W,"p2, k3"
