StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *,End Row
496,Embroidery Check,Multiple of 8 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=496,1,R,B,k5*,"sl 3 wyib, k5",*,
496,Embroidery Check,Multiple of 8 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=496,2,W,B,"k2, p1, k2*","sl 3 wyif, k2, p1, k2",*,
496,Embroidery Check,Multiple of 8 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=496,3,R,A,k2*,"sl 1 wyib, k7",*,"sl 1 wyb, k2"
496,Embroidery Check,Multiple of 8 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=496,4,W,A,"k1, p1*","sl 1 wyif, p7",*,"sl 1 wyif, p1, k1"
496,Embroidery Check,Multiple of 8 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=496,5,R,B,k5*,"sl 3 wyib, k5",*,
496,Embroidery Check,Multiple of 8 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=496,6,W,B,"k2, p1, k2*","sl 3 wyif, k2, p1, k2",*,
496,Embroidery Check,Multiple of 8 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=496,7,R,A,k2*,"sl 1 wyib, k7",*,"sl 1 wyb, k2"
496,Embroidery Check,Multiple of 8 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=496,8,W,A,k1*,purl,*,k1
496,Embroidery Check,Multiple of 8 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=496,9,R,B,k1*,"sl 3 wyib, k5",*,"sl 3 wyib, k1"
496,Embroidery Check,Multiple of 8 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=496,10,W,B,k1*,"sl 3 wyif, k2, p1, k2",*,"sl 3 wyif, k1"
496,Embroidery Check,Multiple of 8 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=496,11,R,A,k6*,"sl 1 wyib, k7",*,"sl 1 wyib, k6"
496,Embroidery Check,Multiple of 8 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=496,12,W,A,"k1, p5*","sl 1 wyif, p7",*,"sl 1 wyif, p5, k1"
496,Embroidery Check,Multiple of 8 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=496,13,R,B,k1*,"sl 3 wyib, k5",*,"sl 3 wyib, k1"
496,Embroidery Check,Multiple of 8 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=496,14,W,B,k1*,"sl 3 wyif, k2, p1, k2",*,"sl 3 wyif, k1"
496,Embroidery Check,Multiple of 8 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=496,15,R,A,k6*,"sl 1 wyib, k7",*,"sl 1 wyib, k6"
496,Embroidery Check,Multiple of 8 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=496,16,W,A,k1*,purl,*,k1
