StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *,End Row
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,1,R,B,k1*,"sl 1 wyib, k9",*,"sl 1, k1"
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,2,W,B,*,"Repeat the previous row, but slip all sl-sts with yarn in front",*,
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,3,R,A,k3*,"(sl 1 wyib, k1) 3 times, sl 1, k3",*,
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,4,W,A,*,"Repeat the previous row, but slip all sl-sts with yarn in front",*,
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,5,R,B,k2*,"sl 1 wyib, k7, sl 1 wyib, k1",*,k1
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,6,W,B,*,"Repeat the previous row, but slip all sl-sts with yarn in front",*,
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,7,R,A,k4*,"(sl 1 wyib, k1) twice, sl 1 wyib, k5",*,"(sl 1 wyib, k1) twice, sl 1 wyib, k4"
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,8,W,A,*,"Repeat the previous row, but slip all sl-sts with yarn in front",*,
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,9,R,B,"(k1, sl 1 wyib) twice*","k5, (sl 1 wyib, k1) twice, sl 1 wyib",*,"k5, (sl 1 wyib, k1) twice."
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,10,W,B,*,"Repeat the previous row, but slip all sl-sts with yarn in front",*,
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,11,R,A,k5*,"sl 1, k1, sl 1, k7",*,"sl 1, k1, sl 1, k5"
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,12,W,A,*,"Repeat the previous row, but slip all sl-sts with yarn in front",*,
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,13,R,B,"k1, (k1, sl 1 wyib) twice *","k3, (sl 1 wyib, k1) 3 times, sl 1 wyib",*,"k3, (sl 1 wyib, k1) twice, k1"
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,14,W,B,*,"Repeat the previous row, but slip all sl-sts with yarn in front",*,
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,15,R,A,k6*,"sl 1 wyib, k9",*,"sl 1 wyib, k6"
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,16,W,A,*,"Repeat the previous row, but slip all sl-sts with yarn in front",*,
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,17,R,B,"k1, (k1, sl 1 wyib) twice*","k3, (sl 1 wyib, k1) 3 times, sl 1 wyib",*,"k3, (sl 1 wyib, k1) twice, k1"
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,18,W,B,*,"Repeat the previous row, but slip all sl-sts with yarn in front",*,
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,19,R,A,k5*,"sl 1, k1, sl 1, k7",*,"sl 1, k1, sl 1, k5"
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,20,W,A,*,"Repeat the previous row, but slip all sl-sts with yarn in front",*,
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,21,R,B,"(k1, sl 1 wyib) twice*","k5, (sl 1 wyib, k1) twice, sl 1 wyib",*,"k5, (sl 1 wyib, k1) twice."
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,22,W,B,*,"Repeat the previous row, but slip all sl-sts with yarn in front",*,
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,23,R,A,k4*,"(sl 1 wyib, k1) twice, sl 1 wyib, k5",*,"(sl 1 wyib, k1) twice, sl 1 wyib, k4"
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,24,W,A,*,"Repeat the previous row, but slip all sl-sts with yarn in front",*,
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,25,R,B,k2*,"sl 1 wyib, k7, sl 1 wyib, k1",*,k1
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,26,W,B,*,"Repeat the previous row, but slip all sl-sts with yarn in front",*,
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,27,R,A,k3*,"(sl 1 wyib, k1) 3 times, sl 1, k3",*,
503,Harlequin,Multiple of 10 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=503,28,W,A,*,"Repeat the previous row, but slip all sl-sts with yarn in front",*,
