StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
520,Woven Diagonal Herringbone ZigZag,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=520,1,W,*,purl,*,
520,Woven Diagonal Herringbone ZigZag,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=520,2,R,*,"sl 3 wyif, k3",*,
520,Woven Diagonal Herringbone ZigZag,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=520,3,W,*,purl,*,
520,Woven Diagonal Herringbone ZigZag,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=520,4,R,k1*,"sl 3 wyif, k3",*,"sl 3 wyif, k2"
520,Woven Diagonal Herringbone ZigZag,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=520,5,W,*,purl,*,
520,Woven Diagonal Herringbone ZigZag,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=520,6,R,k2*,"sl 3 wyif, k3",*,"sl 3 wyif, k1"
520,Woven Diagonal Herringbone ZigZag,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=520,7,W,*,purl,*,
520,Woven Diagonal Herringbone ZigZag,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=520,8,R,*,"K3, sl 3 wyif",*,
520,Woven Diagonal Herringbone ZigZag,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=520,9,W,*,purl,*,
520,Woven Diagonal Herringbone ZigZag,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=520,10,R,sl 1 wyif*,"k3, sl 3 wyif",*,"k3, sl 2 wyif"
520,Woven Diagonal Herringbone ZigZag,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=520,11,W,*,purl,*,
520,Woven Diagonal Herringbone ZigZag,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=520,12,R,sl 2 wyif*,"k3, sl 3 wyif",*,"k3, sl 1 wyif"
520,Woven Diagonal Herringbone ZigZag,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=520,13,W,*,purl,*,
520,Woven Diagonal Herringbone ZigZag,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=520,14,R,*,"sl 3 wyif, k3",*,
520,Woven Diagonal Herringbone ZigZag,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=520,15,W,*,purl,*,
520,Woven Diagonal Herringbone ZigZag,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=520,16,R,sl 2 wyif*,"k3, sl 3 wyif",*,"k3, sl 1 wyif"
520,Woven Diagonal Herringbone ZigZag,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=520,17,W,*,purl,*,
520,Woven Diagonal Herringbone ZigZag,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=520,18,R,sl 1 wyif*,"k3, sl 3 wyif",*,"k3, sl 2 wyif"
520,Woven Diagonal Herringbone ZigZag,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=520,19,W,*,purl,*,
520,Woven Diagonal Herringbone ZigZag,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=520,20,R,*,"K3, sl 3 wyif",*,
520,Woven Diagonal Herringbone ZigZag,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=520,21,W,*,purl,*,
520,Woven Diagonal Herringbone ZigZag,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=520,22,R,k2*,"sl 3 wyif, k3",*,"sl 3 wyif, k1"
520,Woven Diagonal Herringbone ZigZag,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=520,23,W,*,purl,*,
520,Woven Diagonal Herringbone ZigZag,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=520,24,R,k1*,"sl 3 wyif, k3",*,"sl 3 wyif, k2"
