StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
54,Slip-Cross Open Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=54,1,W,"k3, p1, k2, p1, k3"
54,Slip-Cross Open Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=54,2,R,"p3, sl 1 wyib, p2, sl 1 wyib, p3"
54,Slip-Cross Open Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=54,3,W,"k3, sl 1 wyif, k2, sl 1 wyif, k3"
54,Slip-Cross Open Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=54,4,R,"p1, sl the next 2 purl sts, drop next st to front of work, sl the 2 purl sts back to left-hand needle, pick up dropped st and knit it, p4, drop next st off needle to front of work, p2, pick up dropped st and knit it, p1"
54,Slip-Cross Open Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=54,5,W,"k1, p1, k6, p1, k1"
54,Slip-Cross Open Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=54,6,R,"p1, k1, p6, k1, p1"
54,Slip-Cross Open Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=54,7,W,"k1, p1, k6, p1, k1"
54,Slip-Cross Open Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=54,8,R,"p1, sl 1 wyib, p6, sl 1 wyib, p1"
54,Slip-Cross Open Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=54,9,W,"k1, sl 1 wyif, k6, sl 1 wyif, k1"
54,Slip-Cross Open Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=54,10,R,"p1, drop next st off needle to front of work, p2, pick up dropped st and knit it; p2, sl the next 2 purl sts, drop next st off needle to front of work, sl the same 2 purl sts back to left-hand needle, pick up dropped st and knit it, p3"
54,Slip-Cross Open Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=54,11,W,"k3, p1, k2, p1, k3"
54,Slip-Cross Open Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=54,12,R,"p3, sl 1 wyib, p2, sl 1 wyib, p3"
54,Slip-Cross Open Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=54,13,W,"k3, sl 1 wyif, k2, sl 1 wyif, k3"
54,Slip-Cross Open Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=54,14,R,"p3, drop next st to front of work, sl the 2 purl sts, drop next st off needle to front; then holding the 2 purl sts on right-hand needle, pick up the first dropped st on left-hand needle, then sl the 2 purl sts back to left-hand needle; then pick up second dropped st and return it to left-hand needle; then k1, p2, k1 across these 4 sts, p3"
