StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
552,Leaves and Berries,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=552,1,R,"p2, yo, k2, ssk, k7, p2"
552,Leaves and Berries,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=552,2,W,"k2, p6, p2-tog-b, p2, yo, p1, k2"
552,Leaves and Berries,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=552,3,R,"p2, k2, yo, k2, ssk, k2, nupp, k2, p2"
552,Leaves and Berries,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=552,4,W,"k2, p4, p2-tog-b, p2, yo, p3, k2"
552,Leaves and Berries,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=552,5,R,"p2, k4, yo, ssk, k5, p2"
552,Leaves and Berries,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=552,6,W,"k2, p4, p2-tog, yo, p5, k2"
552,Leaves and Berries,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=552,7,R,"p2, yo, k2, ssk, k4, nupp, k2, p2"
552,Leaves and Berries,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=552,8,W,"k2, p6, p2-tog-b, p2, yo, p1, k2"
552,Leaves and Berries,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=552,9,R,"p2, k2, yo k2, ssk, k5, p2"
552,Leaves and Berries,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=552,10,W,"k2, p4, p2-tog-b, p2, yo, p3, k2"
552,Leaves and Berries,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=552,11,R,"p2, k4, yo, ssk, k2, nupp, k2, p2"
552,Leaves and Berries,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=552,12,W,"k2, p4, p2-tog, yo, p5, k2"
552,Leaves and Berries,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=552,13,R,"p2, k7, k2-tog, k2, yo, p2"
552,Leaves and Berries,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=552,14,W,"k2, p1, yo, p2, p2-tog, p6, k2"
552,Leaves and Berries,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=552,15,R,"p2, k2, nupp, k2, k2-tog, k2, yo, k2, p2"
552,Leaves and Berries,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=552,16,W,"k2, p3, yo, p2, p2-tog, p4, k2"
552,Leaves and Berries,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=552,17,R,"p2, k5, k2-tog, yo, k4, p2"
552,Leaves and Berries,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=552,18,W,"k2, p5, yo, p2-tog-b, p4, k2"
552,Leaves and Berries,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=552,19,R,"p2, k2, nupp, k4, k2-tog, k2, yo, p2"
552,Leaves and Berries,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=552,20,W,"k2, p1, yo, p2, p2-tog, p6, k2"
552,Leaves and Berries,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=552,21,R,"p2, k5, k2-tog, k2, yo, k2, p2"
552,Leaves and Berries,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=552,22,W,"k2, p3, yo, p2, p2-tog, p4, k2"
552,Leaves and Berries,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=552,23,R,"p2, k2, nupp, k2, k2-tog, yo, k4, p2"
552,Leaves and Berries,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=552,24,W,"k2, p5, yo, p2-tog-b, p4, k2"
