StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
558,558 Basketweave 4,Multiple of 9 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=558,1,R,k3*,"p6, k3",*
558,558 Basketweave 4,Multiple of 9 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=558,2,W,p3*,"k6, p3",*
558,558 Basketweave 4,Multiple of 9 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=558,3,R,k3*,"p6, k3",*
558,558 Basketweave 4,Multiple of 9 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=558,4,W,p3*,"k6, p3",*
558,558 Basketweave 4,Multiple of 9 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=558,5,R,k3*,"p6, k3",*
558,558 Basketweave 4,Multiple of 9 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=558,6,W,p3*,"k6, p3",*
558,558 Basketweave 4,Multiple of 9 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=558,7,R,p3*,"k6, p3",*
558,558 Basketweave 4,Multiple of 9 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=558,8,W,k3*,"p6, k3",*
558,558 Basketweave 4,Multiple of 9 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=558,9,R,p3*,"k6, p3",*
558,558 Basketweave 4,Multiple of 9 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=558,10,W,k3*,"p6, k3",*
