StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
559,559 Tumbling Blocks,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=559,1,R,"p1, k1"
559,559 Tumbling Blocks,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=559,2,W,"p2, (k1, p1) 3 times, k2"
559,559 Tumbling Blocks,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=559,3,R,"p3, (k1, p1) twice, k3"
559,559 Tumbling Blocks,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=559,4,W,"p4, k1, p1, k4"
559,559 Tumbling Blocks,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=559,5,R,"p5, k5"
559,559 Tumbling Blocks,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=559,6,W,"p5, k5"
559,559 Tumbling Blocks,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=559,7,R,"k1, p4, k1, p1"
559,559 Tumbling Blocks,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=559,8,W,"p1, k1, p3, k3, p1, k1"
559,559 Tumbling Blocks,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=559,9,R,"k1, p1, k1, p2, k2, p1, k1, p1"
559,559 Tumbling Blocks,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=559,10,W,"p1, k1"
559,559 Tumbling Blocks,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=559,11,R,"k1, p1"
559,559 Tumbling Blocks,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=559,12,W,"(p1, k1) twice, k1, p2, k1, p1, k1"
559,559 Tumbling Blocks,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=559,13,R,"k1, p1, k3, p3, k1, p1"
559,559 Tumbling Blocks,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=559,14,W,"p1, k4, p4, k1"
559,559 Tumbling Blocks,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=559,15,R,"k5, p5"
559,559 Tumbling Blocks,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=559,16,W,"k5, p5"
559,559 Tumbling Blocks,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=559,17,R,"k4, p1, k1, p4"
559,559 Tumbling Blocks,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=559,18,W,"k3, (p1, k1), p3,"
559,559 Tumbling Blocks,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=559,19,R,"k2, (p1, k1) 3 times, p2"
559,559 Tumbling Blocks,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=559,20,W,"k1, p1"
