StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
579,Butterfly 1,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=579,1,R,k2*,"sl 5 wyif, k5",*,"sl 5, k2"
579,Butterfly 1,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=579,2,W,*,purl,*,
579,Butterfly 1,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=579,3,R,k2*,"sl 5 wyif, k5",*,"sl 5, k2"
579,Butterfly 1,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=579,4,W,*,purl,*,
579,Butterfly 1,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=579,5,R,k2*,"sl 5 wyif, k5",*,"sl 5, k2"
579,Butterfly 1,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=579,6,W,*,purl,*,
579,Butterfly 1,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=579,7,R,k2*,"sl 5 wyif, k5",*,"sl 5, k2"
579,Butterfly 1,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=579,8,W,*,purl,*,
579,Butterfly 1,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=579,9,R,k2*,"sl 5 wyif, k5",*,"sl 5, k2"
579,Butterfly 1,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=579,10,W,p4*,"on the next stitch (the center ofhe slipped group) insert right-hand needle down through the 5 loose strands, bring needle up and transfer the 5 strands to left-hand needle, purl the 5 strands and the next stitch together as one stitch; p9",*,"on the next stitch (the center ofhe slipped group) insert right-hand needle down through the 5 loose strands, bring needle up and transfer the 5 strands to left-hand needle, purl the 5 strands and the next stitch together as one stitch; p4"
579,Butterfly 1,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=579,11,R,k7*,"sl 5 wyif, k5",*,"sl 5, k7"
579,Butterfly 1,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=579,12,W,*,purl,*,
579,Butterfly 1,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=579,13,R,k7*,"sl 5 wyif, k5",*,"sl 5, k7"
579,Butterfly 1,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=579,14,W,*,purl,*,
579,Butterfly 1,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=579,15,R,k7*,"sl 5 wyif, k5",*,"sl 5, k7"
579,Butterfly 1,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=579,16,W,*,purl,*,
579,Butterfly 1,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=579,17,R,k7*,"sl 5 wyif, k5",*,"sl 5, k7"
579,Butterfly 1,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=579,18,W,*,purl,*,
579,Butterfly 1,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=579,19,R,k7*,"sl 5 wyif, k5",*,"sl 5, k7"
579,Butterfly 1,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=579,20,W,p9*,"insert needle down through the 5 loose strands, bring them up and purl them with next stitch as before; p9",*,
