StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
585,Floating Hexagon,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=585,1,W,k3*,p2 wrapping yarn twice around needle for each purl stitch; k4,*,p2 wrapping yarn twice around needle for each purl stitch; k3
585,Floating Hexagon,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=585,2,R,k3*,sl 2 wyib dropping extra wraps; k4,*,sl 2 wyib dropping extra wraps; k3
585,Floating Hexagon,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=585,3,W,k3*,"sl 2 wyif, k4",*,"sl 2 wyif, k3"
585,Floating Hexagon,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=585,4,R,k3*,"sl 2 wyib, k4",*,"sl 2 wyib, k3"
585,Floating Hexagon,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=585,5,R,k3*,"sl 2 wyif, k4",*,"sl 2 wyif, k3"
585,Floating Hexagon,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=585,6,R,k1*,"sl 2 wyib; drop next stitch at the front of work, slip same 2 stitches back to the left-hand needle, pick up dropped stitch and knit it, k2, drop next stitch at the front of work, k2, pick up dropped stitch and knit it",*,k1
585,Floating Hexagon,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=585,7,W,k1*,p1 wrapping yarn twice; k4; p1 wrapping yarn twice,*,k1
585,Floating Hexagon,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=585,8,R,k1*,sl 1 wyib dropping extra wrap; k4; sl 1 wyib dropping extra wrap,*,k1
585,Floating Hexagon,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=585,9,W,k1*,"sl 1 wyif, k4, sl 1 wyif",*,k1
585,Floating Hexagon,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=585,10,R,k1*,"sl 1 wyib, k4, sl 1 wyib",*,k1
585,Floating Hexagon,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=585,11,W,k1*,"sl 1 wyif, k4, sl 1 wyif",*,k1
585,Floating Hexagon,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=585,12,R,*,knit,*,
585,Floating Hexagon,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=585,13,W,k1*,p1 wrapping yarn twice; k4; p1 wrapping yarn twice,*,k1
585,Floating Hexagon,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=585,14,R,k1*,sl 1 wyib dropping extra wrap; k4; sl 1 wyib dropping extra wrap,*,k1
585,Floating Hexagon,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=585,15,W,k1*,"sl 1 wyif, k4, sl 1 wyif",*,k1
585,Floating Hexagon,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=585,16,R,k1*,"sl 1 wyib, k4, sl 1 wyib",*,k1
585,Floating Hexagon,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=585,17,W,k1*,"sl 1 wyif, k4, sl 1 wyif",*,k1
585,Floating Hexagon,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=585,18,R,k1*,"drop next stitch at front of work, k2, pick up dropped stitch and knit it; slip next 2 stitches wyib, drop next stitch at front of work, sl same 2 stitches back to left -hand needle, pickup dropped stitch and knit it; k2",*,k1
