StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
58,Medallion Cable with Purl Twist,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=58,1,W,"k2, p1, k2, p2, k2, p1, k2"
58,Medallion Cable with Purl Twist,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=58,2,R,"p2, k1, p2, k2, p2, k1, p2"
58,Medallion Cable with Purl Twist,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=58,3,W,"k2, p1, k2, skip next st and purl the 2nd st, then purl the skipped stitch and sl both sts from needle together, k2, p1, k2"
58,Medallion Cable with Purl Twist,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=58,4,R,"p2, k1, p2, k2, p2, k1, p2"
58,Medallion Cable with Purl Twist,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=58,5,W,"k2, p1, k2, p2, k2, p1, k2"
58,Medallion Cable with Purl Twist,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=58,6,R,"p2, sl 1 wyib, p2, sl 2 wyib, p2, sl 1 wyib, p2"
58,Medallion Cable with Purl Twist,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=58,7,W,"k2, sl 2 wyif, k2, sl 2 wyif, k2, sl 2 wyif, k2"
58,Medallion Cable with Purl Twist,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=58,8,R,"p2, LSC, RSC, p2"
58,Medallion Cable with Purl Twist,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=58,9,W,"k2, p1, k2, p2, k2, p1, k2"
58,Medallion Cable with Purl Twist,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=58,10,R,"p2, k1, p2, k2, p2, k1, p2"
58,Medallion Cable with Purl Twist,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=58,11,W,"k2, p1, k2, p2, k2, p1, k2"
58,Medallion Cable with Purl Twist,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=58,12,R,"p2, sl 1 wyib, p2, sl 2 wyib, p2, sl 1 wyib, p2"
58,Medallion Cable with Purl Twist,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=58,13,W,"k2, sl 1 wyif, k2, sl 2 wyif, k2, sl 1 wyif, k2"
58,Medallion Cable with Purl Twist,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=58,14,R,"p2, RSC, LSC, p2"
