StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
596,Semi-Woven Lattice with Moss Stitch,Multiple of 15 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=596,1,R,p2*,"p11, k2, p2",*,
596,Semi-Woven Lattice with Moss Stitch,Multiple of 15 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=596,2,W,*,"k2, p2, k11",*,k2
596,Semi-Woven Lattice with Moss Stitch,Multiple of 15 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=596,3,R,p2*,"p11, k2, p2",*,
596,Semi-Woven Lattice with Moss Stitch,Multiple of 15 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=596,4,W,*,purl,*,
596,Semi-Woven Lattice with Moss Stitch,Multiple of 15 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=596,5,R,p2*,"k2, (p1, k1) 4 times, p1, k2, p",*,
596,Semi-Woven Lattice with Moss Stitch,Multiple of 15 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=596,6,W,*,"k2, p2, (k1, p1) 4 times, k1, p2",*,k2
596,Semi-Woven Lattice with Moss Stitch,Multiple of 15 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=596,7,R,p2*,"k3, (p1, k1) 3 times, p1, k3, p2",*,
596,Semi-Woven Lattice with Moss Stitch,Multiple of 15 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=596,8,W,*,"k2, p3, (k1, p1) 3 times, k1, p3",*,k2
596,Semi-Woven Lattice with Moss Stitch,Multiple of 15 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=596,9,R,p2*,"k2, (p1, k1) 4 times, p1, k2, p2",*,
596,Semi-Woven Lattice with Moss Stitch,Multiple of 15 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=596,10,W,*,"k2, p2, (k1, p1) 4 times, k1, p2",*,k2
596,Semi-Woven Lattice with Moss Stitch,Multiple of 15 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=596,11,R,p2*,"k3, (p1, k1) 3 times, p1, k3, p2",*,
596,Semi-Woven Lattice with Moss Stitch,Multiple of 15 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=596,12,W,*,"k2, p3, (k1, p1) 3 times, k1, p3",*,k2
596,Semi-Woven Lattice with Moss Stitch,Multiple of 15 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=596,13,R,p2*,"k2, (p1, k1) 4 times, p1, k2, p2",*,
596,Semi-Woven Lattice with Moss Stitch,Multiple of 15 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=596,14,W,*,"k2, p2, (k1, p1) 4 times, k1, p2",*,k2
596,Semi-Woven Lattice with Moss Stitch,Multiple of 15 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=596,15,R,p2*,"k2, p13",*,
596,Semi-Woven Lattice with Moss Stitch,Multiple of 15 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=596,16,W,*,"k13, p2",*,k2
596,Semi-Woven Lattice with Moss Stitch,Multiple of 15 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=596,17,R,p2*,"k2, p13",*,
596,Semi-Woven Lattice with Moss Stitch,Multiple of 15 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=596,18,W,*,purl,*,
