StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
605,Slipped Hourglass,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=605,1,R,P1*,"p3, k2 , p3",*,p1
605,Slipped Hourglass,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=605,2,W,*,"Knit all knit stitches, slip all purl stitches wyif",*,
605,Slipped Hourglass,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=605,3,R,P1*,"p3, k2 , p3",*,p1
605,Slipped Hourglass,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=605,4,W,*,"Knit all knit stitches, slip all purl stitches wyif",*,
605,Slipped Hourglass,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=605,5,R,p1*,"p2, RS, LS, p2",*,p1
605,Slipped Hourglass,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=605,6,W,*,"Knit all knit stitches, slip all purl stitches wyif",*,
605,Slipped Hourglass,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=605,7,R,p1*,"p1, RS, p2, LS, p1",*,p1
605,Slipped Hourglass,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=605,8,W,*,"Knit all knit stitches, slip all purl stitches wyif",*,
605,Slipped Hourglass,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=605,9,R,p1*,"RS, p4, LS",*,p1
605,Slipped Hourglass,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=605,10,W,*,"Knit all knit stitches, slip all purl stitches wyif",*,
605,Slipped Hourglass,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=605,11,R,P1*,"k1, p6, k1",*,p1
605,Slipped Hourglass,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=605,12,W,*,"Knit all knit stitches, slip all purl stitches wyif",*,
605,Slipped Hourglass,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=605,13,R,P1*,"k1, p6, k1",*,p1
605,Slipped Hourglass,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=605,14,W,*,"Knit all knit stitches, slip all purl stitches wyif",*,
605,Slipped Hourglass,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=605,15,R,p1*,"LS, p4, RS",*,p1
605,Slipped Hourglass,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=605,16,W,*,"Knit all knit stitches, slip all purl stitches wyif",*,
605,Slipped Hourglass,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=605,17,R,p1*,"p1, LS, p2, RS, p1",*,p1
605,Slipped Hourglass,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=605,18,W,*,"Knit all knit stitches, slip all purl stitches wyif",*,
605,Slipped Hourglass,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=605,19,R,p1*,"p2, LS, RS, p2",*,p1
605,Slipped Hourglass,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=605,20,W,*,"Knit all knit stitches, slip all purl stitches wyif",*,
