StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
636,Ruching,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=636,1,W,purl
636,Ruching,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=636,2,R,knit
636,Ruching,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=636,3,W,purl
636,Ruching,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=636,4,R,knit
636,Ruching,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=636,5,W,purl
636,Ruching,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=636,6,R,knit
636,Ruching,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=636,7,W,purl
636,Ruching,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=636,8,R,"Knit in front and back of each stitch (this doubles the number of stitches). At the end of this row, change to needles 1 size smaller."
636,Ruching,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=636,9,W,purl
636,Ruching,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=636,10,R,knit
636,Ruching,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=636,11,W,purl
636,Ruching,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=636,12,R,knit
636,Ruching,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=636,13,W,purl
636,Ruching,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=636,14,R,K2 tog across row (Original number of stitches restored.) At the end of this row change back to original size needles.
