StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
670,Embossed Bell,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=670,1,R,*,purl,*
670,Embossed Bell,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=670,2,W,*,knit,*
670,Embossed Bell,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=670,3,R,P4*,"cast on 8 stitches, p4",*
670,Embossed Bell,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=670,4,W,K4*,"p8 (the 8 cast on stitches from the previous row), k4",*
670,Embossed Bell,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=670,5,R,P4*,"k8, p4",*
670,Embossed Bell,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=670,6,W,K4*,"p8, k4",*
670,Embossed Bell,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=670,7,R,P4*,"ssk, k4, k2 tog, p4",*
670,Embossed Bell,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=670,8,W,K4*,"p6, k4",*
670,Embossed Bell,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=670,9,R,P4*,"ssk, k2, k2 tog, p4",*
670,Embossed Bell,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=670,10,W,K4*,"p4, k4",*
670,Embossed Bell,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=670,11,R,P4*,"ssk, k2 tog, p4",*
670,Embossed Bell,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=670,12,W,k4*,"p2, k4",*
670,Embossed Bell,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=670,13,R,P4*,"k2 tog, p4",*
670,Embossed Bell,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=670,14,W,K4*,"p1, k4",*
670,Embossed Bell,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=670,15,R,P4*,"k2 tog, p3",*
670,Embossed Bell,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=670,16,W,*,knit,*
