StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
674,Parquet 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=674,1,R,K1*,"p3, k11, p3, k1",*,
674,Parquet 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=674,2,W,P1*,"M1, k3, p2 tog, p7, p2 tog-b, k3, M1, p1",*,
674,Parquet 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=674,3,R,K2*,"p3, k9, p3, k3",*,k2
674,Parquet 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=674,4,W,P2*,"M1, k3, p2 tog, p5, p2 tog-b, k3, M1, p3",*,p2
674,Parquet 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=674,5,R,K3*,"p3, k7, p3, k5",*,k3
674,Parquet 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=674,6,W,P3*,"M1, k3, p2 tog, p3, p2 tog-b, k3, M1, p5",*,p3
674,Parquet 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=674,7,R,K4*,"p3, k5, p3, k7",*,k4
674,Parquet 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=674,8,W,P4*,"M1, k3, p2 tog p1, p2 tog-b, k3, M1, p7",*,p4
674,Parquet 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=674,9,R,K5*,"p3, k3, p3, k9",*,k5
674,Parquet 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=674,10,W,p5*,"M1, k3, p3 tog, k3, M1, p9",*,p5
674,Parquet 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=674,11,R,K6*,"p3, k1, p3, k11",*,k6
674,Parquet 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=674,12,W,P4*,"p2 tog-b, k3, M1, p1, M1, k3, p2 tog, p7",*,p4
674,Parquet 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=674,13,R,K5*,"p3, k3, p3, k9",*,k5
674,Parquet 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=674,14,W,p3*,"p2 tog-b, k3, M1, p3, M1, k3, p2 tog, p5",*,p3
674,Parquet 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=674,15,R,K4*,"p3, k5, p3, k7",*,k4
674,Parquet 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=674,16,W,P2*,"p2 tog-b, k3, M1, p5, M1, k3, p2 tog, p3",*,p2
674,Parquet 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=674,17,R,K3*,"p3, k7, p3, k5",*,k3
674,Parquet 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=674,18,W,p1*,"p2 tog-b, k3, M1, p7, M1, k3, p2 tog, p1",*,
674,Parquet 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=674,19,R,K2*,"p3, k9, p3, k3",*,k2
674,Parquet 1,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=674,20,W,P2 tog-b*,"k3, M1, p9, M1, k3, p3 tog",*,p2 tog
