StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
682,Blackberry Bobble,Multiple of 20 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=682,1,R,K1*,"(p4, k1) twice, p4, MB, p4, k1",*
682,Blackberry Bobble,Multiple of 20 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=682,2,W,P1*,"k4, p1-b (into bobble stitch), (k4, p1) 3 times",*
682,Blackberry Bobble,Multiple of 20 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=682,3,R,K1*,"(p4, k1) twice, p3, MB, p1, MB, p3, k1",*
682,Blackberry Bobble,Multiple of 20 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=682,4,W,P1*,"k3, p1-b, k1, p1-b, k3, p1, (k4, p1) twice",*
682,Blackberry Bobble,Multiple of 20 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=682,5,R,K1*,"(p4, k1) twice, p2, MB, (p1, MB) twice, p2, k1",*
682,Blackberry Bobble,Multiple of 20 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=682,6,W,P1*,"k4, p1-b, (k4, p1) 3 times",*
682,Blackberry Bobble,Multiple of 20 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=682,7,R,K1*,"p4, MB, (p4, k1) 3 times",*
682,Blackberry Bobble,Multiple of 20 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=682,8,W,P1*,"(k4, p1) twice, k4, p1-b, k4, p1",*
682,Blackberry Bobble,Multiple of 20 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=682,9,R,K1*,"p3, MB, p1, MB, p3, k1, (p4, k1) twice",*
682,Blackberry Bobble,Multiple of 20 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=682,10,W,P1*,"(k4, p1) twice, k3, p1-b, k1, p1-b, k3, p1",*
682,Blackberry Bobble,Multiple of 20 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=682,11,R,K1*,"p2, MB, (p1, MB) twice, p2, k1, (p4, k1) twice",*
682,Blackberry Bobble,Multiple of 20 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=682,12,W,P1*,"k4, p1) twice, k4, p1-b, k4, p1",*
