StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
687,Puff,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=687,1,R,P2*,"(k1, p1) twice in next stitch (forming 4 puff stitches), p2, k1, p2",*
687,Puff,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=687,2,W,K2*,"p1, k2; (k1, yo) 3 times and K1 on the 4 puff stitches; k2",*
687,Puff,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=687,3,R,P2*,"(k1, drop yo) 3 times and k1 on the 4 puff stitches; p2, k1, p2",*
687,Puff,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=687,4,W,K2*,"p1, k2; (k1, yo) 3 times and K1 on the 4 puff stitches; k2",*
687,Puff,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=687,5,R,P2*,"(k1, drop yo) 3 times and k1 on the 4 puff stitches; p2, k1, p2",*
687,Puff,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=687,6,W,K2*,"p1, k2, p4 tog (completing puff), k2",*
687,Puff,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=687,7,R,P2*,"k1, p2, (k1, p1) twice in next stitch, p2",*
687,Puff,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=687,8,W,K2*,"(k1, yo) 3 times an k1 on 4 puff stitches, k2, p1, k2",*
687,Puff,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=687,9,R,P2*,"k1, p2, (k1, drop yo) 3 times and k1 on the 4 puff stitches; p2",*
687,Puff,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=687,10,W,K2*,"(k1, yo) 3 times an k1 on 4 puff stitches, k2, p1, k2",*
687,Puff,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=687,11,R,P2*,"k1, p2, (k1, drop yo) 3 times and k1 on the 4 puff stitches; p2",*
687,Puff,Multiple of 6 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=687,12,W,K2*,"p4 tog (completing puff), k2, p1, k2",*
