StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
693,Embossed Leaf 2,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=693,1,R,P7*,"k1, p7",*,
693,Embossed Leaf 2,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=693,2,W,K7*,"p1, k7",*,
693,Embossed Leaf 2,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=693,3,R,P7*,"M1, k1, M1, p7",*,
693,Embossed Leaf 2,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=693,4,W,K7*,"p3, k7",*,
693,Embossed Leaf 2,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=693,5,R,P7*,"(k1, yo) twice, k1, p7",*,
693,Embossed Leaf 2,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=693,6,W,K7*,"p5, k7",*,
693,Embossed Leaf 2,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=693,7,R,P7*,"k2, yo, k1, yo, k2, p7",*,
693,Embossed Leaf 2,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=693,8,W,K7*,"p7, k7",*,
693,Embossed Leaf 2,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=693,9,R,P7*,"k2, sl 2 knitwise-k1-p2sso, k2, p7",*,
693,Embossed Leaf 2,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=693,10,W,K7*,"p5, k7",*,
693,Embossed Leaf 2,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=693,11,R,P7*,"k1, sl 2 knitwise-k1-p2sso, k1, p7",*,
693,Embossed Leaf 2,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=693,12,W,K7*,"p3, k7",*,
693,Embossed Leaf 2,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=693,13,R,P7*,"sl 2 knitwise-k1-p2sso, p7",*,
693,Embossed Leaf 2,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=693,14,W,K7*,"p1, k7",*,
693,Embossed Leaf 2,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=693,15,R,P3*,"k1, p7",*,"k1, p3"
693,Embossed Leaf 2,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=693,16,W,K3*,"p1, k7",*,"p1, k3"
693,Embossed Leaf 2,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=693,17,R,P3*,"M1, k1, M1, p7",*,"M1, k1, M1, p3"
693,Embossed Leaf 2,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=693,18,W,K3*,"p3, k7",*,"p3, k3"
693,Embossed Leaf 2,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=693,19,R,P3*,"(k1, yo) twice, k1, p7",*,"(k1, yo) twice, k1, p3"
693,Embossed Leaf 2,Multiple of 8 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=693,20,W,K3*,"p5, k7",*,"p5, k3"
