StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
698,Quilted Leaf,Multiple of 9 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=698,1,R,purl
698,Quilted Leaf,Multiple of 9 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=698,2,W,knit
698,Quilted Leaf,Multiple of 9 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=698,3,R,purl
698,Quilted Leaf,Multiple of 9 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=698,4,W,knit
698,Quilted Leaf,Multiple of 9 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=698,5,R,"P2, p2 tog, yo, k1-b, yo, p2 tog, p2"
698,Quilted Leaf,Multiple of 9 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=698,6,W,"K4, p1-b, k4"
698,Quilted Leaf,Multiple of 9 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=698,7,R,"P1, p2 tog, yo, k3-b, yo, p2 tog, p1"
698,Quilted Leaf,Multiple of 9 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=698,8,W,"K3, p3-b, k3"
698,Quilted Leaf,Multiple of 9 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=698,9,R,"P2 tog, yo, k5-b, yo, p2 tog"
698,Quilted Leaf,Multiple of 9 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=698,10,W,"k2, p5-b, k2"
698,Quilted Leaf,Multiple of 9 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=698,11,R,"P1, yo, k2-b, sl 1-k2 tog-psso, k2-b, yo, p1"
698,Quilted Leaf,Multiple of 9 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=698,12,W,"k2, p5-b, k2"
698,Quilted Leaf,Multiple of 9 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=698,13,R,"P2, yo, k1-b, sl 1-k2 tog-psso, k1-b, yo, p2"
698,Quilted Leaf,Multiple of 9 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=698,14,W,"K3, p3-b, k3"
698,Quilted Leaf,Multiple of 9 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=698,15,R,"p3, yo, sl 1-k2 tog-psso, yo, p3"
698,Quilted Leaf,Multiple of 9 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=698,16,W,"K4, p1-b, k4"
