StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
704,Syncopated Brioche,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=704,1,W,"Yo, sl 1 wyib, k1"
704,Syncopated Brioche,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=704,2,R,"Yo, sl 1 wyib, k2 tog"
704,Syncopated Brioche,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=704,3,W,"Yo, sl 1 wyib, k2 tog"
704,Syncopated Brioche,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=704,4,R,"Yo, sl 1 wyib, k2 tog"
704,Syncopated Brioche,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=704,5,W,"Yo, sl 1 wyib, k2 tog"
704,Syncopated Brioche,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=704,6,R,"Yo, sl 1 wyib, k2 tog"
704,Syncopated Brioche,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=704,7,W,"Yo, sl 1 wyib, k2 tog"
704,Syncopated Brioche,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=704,8,R,"Sl 1 wyif, yo, p2 tog"
704,Syncopated Brioche,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=704,9,W,"Sl 1 wyif, yo, p2 tog"
704,Syncopated Brioche,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=704,10,R,"Sl 1 wyif, yo, p2 tog"
704,Syncopated Brioche,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=704,11,W,"Sl 1 wyif, yo, p2 tog"
704,Syncopated Brioche,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=704,12,R,"Sl 1 wyif, yo, p2 tog"
704,Syncopated Brioche,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=704,13,W,"Sl 1 wyif, yo, p2 tog"
