StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
717,Pine Trees 2,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=717,1,W,*,purl,*
717,Pine Trees 2,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=717,2,R,K1*,"yo, k1, ssk, k7, k2 tog, k1, yo, k1",*
717,Pine Trees 2,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=717,3,W,*,purl,*
717,Pine Trees 2,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=717,4,R,K1*,"k1, yo, k1, ssk, k5, k2 tog, k1, yo, k2",*
717,Pine Trees 2,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=717,5,W,*,purl,*
717,Pine Trees 2,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=717,6,R,K1*,"k2, yo, k1, ssk, k3, k2 tog, k1, yo, k3",*
717,Pine Trees 2,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=717,7,W,*,purl,*
717,Pine Trees 2,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=717,8,R,K1*,"k3, yo, k1, ssk, k1, k2 tog, k1, yo, k4",*
717,Pine Trees 2,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=717,9,W,*,purl,*
717,Pine Trees 2,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=717,10,R,K1*,"k4, yo, k1, sl 1-k2 tog-psso, k1, yo, k5",*
