StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *,End Row
723,Crested Medallion,Multiple of 12 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=723,1,W,A,*,knit,*,
723,Crested Medallion,Multiple of 12 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=723,2,R,B,K6*,"(sl 1, yo) twice, sl 1, k9 [be sure to keep the 2 yo's positioned between the 3 slipp stitches; in the center, there will be a double yo in Color B divided by a slipped stitch of Color A]",*,k6
723,Crested Medallion,Multiple of 12 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=723,3,W,B,P6*,"sl 1 purl the 1st yo, sl 1, knit the next yo, sl 1, p9  [be sure each Color A slip stitch is slipped omto the right-hand needle before the following yo is worked.)",*,p6
723,Crested Medallion,Multiple of 12 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=723,4,R,B,k6*,"(sl 1, k1) twice, sl 1, k9",*,k6
723,Crested Medallion,Multiple of 12 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=723,5,W,B,P6*,"(sl 1, p1) twice, sl 1, p9",*,p6
723,Crested Medallion,Multiple of 12 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=723,6,R,A,K5*,"k2 tog, k3, ssk, k7",*,k5
723,Crested Medallion,Multiple of 12 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=723,7,W,A,*,knit,*,
723,Crested Medallion,Multiple of 12 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=723,8,R,B,"K1, sl 1, yo, sl 1*","k9, (sl 1, yo) twice, sl 1",*,"k9, sl 1, yo, sl 1, k1"
723,Crested Medallion,Multiple of 12 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=723,9,W,B,"(P1, sl 1) twice*","p9, sl 1, purl the 1st yo, sl 1, knit the next yo, sl 1",*,"p9, (sl 1, p1) twice"
723,Crested Medallion,Multiple of 12 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=723,10,R,B,"(K1, sl 1) twice*","k9, (sl 1, k1) twice, sl 1",*,"k9, (sl 1, k1) twice"
723,Crested Medallion,Multiple of 12 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=723,11,W,B,"(P1, sl 1) twice*","p9, (sl 1, p1) twice, sl 1",*,"p9, (sl 1, p1) twice"
723,Crested Medallion,Multiple of 12 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=723,12,R,A,K3*,"ssk, k7, k2 tog, k3",*,
