StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
726,Zigzag Eyelet,Multiple of 11 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=726,1,W,*,purl,*,
726,Zigzag Eyelet,Multiple of 11 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=726,2,R,K6*,"yo, ssk, k9",*,"yo, ssk, k5"
726,Zigzag Eyelet,Multiple of 11 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=726,3,W,*,purl,*,
726,Zigzag Eyelet,Multiple of 11 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=726,4,R,K7*,"yo, ssk, k9",*,"yo, ssk, k4"
726,Zigzag Eyelet,Multiple of 11 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=726,5,W,*,purl,*,
726,Zigzag Eyelet,Multiple of 11 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=726,6,R,K3*,"K2 tog, yo, k3, yo, ssk, k4",*,"K2 tog, yo, k3, yo, ssk, k3"
726,Zigzag Eyelet,Multiple of 11 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=726,7,W,*,purl,*,
726,Zigzag Eyelet,Multiple of 11 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=726,8,R,*,"K2, K2 tog, yo, k5, yo, ssk",*,k2
726,Zigzag Eyelet,Multiple of 11 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=726,9,W,*,purl,*,
726,Zigzag Eyelet,Multiple of 11 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=726,10,R,K1*,"k2 tog, yo, k9",*,k1
726,Zigzag Eyelet,Multiple of 11 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=726,11,W,*,purl,*,
726,Zigzag Eyelet,Multiple of 11 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=726,12,R,*,"K2 tog, yo, k9",*,k2
