StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
728,Traveling Ribbed Eyelet,Multiple of 7 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=728,1,W,K2*,"k2, p5",*,k4
728,Traveling Ribbed Eyelet,Multiple of 7 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=728,2,R,K2*,"p2, yo, ssk, k1, k2 tog, yo",*,"p2, k2"
728,Traveling Ribbed Eyelet,Multiple of 7 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=728,3,W,K2*,"k2, p5",*,k4
728,Traveling Ribbed Eyelet,Multiple of 7 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=728,4,R,K2*,"p2, yo, ssk, k1, k2 tog, yo",*,"p2, k2"
728,Traveling Ribbed Eyelet,Multiple of 7 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=728,5,W,K2*,"k2, p5",*,k4
728,Traveling Ribbed Eyelet,Multiple of 7 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=728,6,R,K2*,"p2, yo, ssk, k1, k2 tog, yo",*,"p2, k2"
728,Traveling Ribbed Eyelet,Multiple of 7 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=728,7,W,K2*,"k2, p5",*,k4
728,Traveling Ribbed Eyelet,Multiple of 7 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=728,8,R,K2*,"p2, k5",*,"p2, k2"
728,Traveling Ribbed Eyelet,Multiple of 7 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=728,9,W,K2*,"k2, p5",*,k4
728,Traveling Ribbed Eyelet,Multiple of 7 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=728,10,R,K2*,"p2, k2 tog, yo, k1, yo, ssk",*,"p2, k2"
728,Traveling Ribbed Eyelet,Multiple of 7 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=728,11,W,K2*,"k2, p5",*,k4
728,Traveling Ribbed Eyelet,Multiple of 7 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=728,12,R,K2*,"p2, k2 tog, yo, k1, yo, ssk",*,"p2, k2"
728,Traveling Ribbed Eyelet,Multiple of 7 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=728,13,W,K2*,"k2, p5",*,k4
728,Traveling Ribbed Eyelet,Multiple of 7 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=728,14,R,K2*,"p2, k2 tog, yo, k1, yo, ssk",*,"p2, k2"
728,Traveling Ribbed Eyelet,Multiple of 7 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=728,15,W,K2*,"k2, p5",*,k4
728,Traveling Ribbed Eyelet,Multiple of 7 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=728,16,R,K2*,"p2, k2 tog, yo, k1, yo, ssk",*,"p2, k2"
