StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
738,Crown of Glory,Multiple of 14 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=738,1,R,K3*,"ssk, k9, k2 tog, k1",*,k2
738,Crown of Glory,Multiple of 14 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=738,2,W,P2*,"p1, p2 tog, p7, p2 tog-b",*,p3
738,Crown of Glory,Multiple of 14 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=738,3,R,K3*,"ssk, k2, (yo) 3 times, k3, k2 tog, k1",*,k2
738,Crown of Glory,Multiple of 14 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=738,4,W,P2*,"p1, p2 tog, p2, make 5 stitches out of the large loop formed by the 3 yo's of previous rows by working (k1, p1) twice, k1 into it; p1, p2 tog-b",*,p3
738,Crown of Glory,Multiple of 14 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=738,5,R,K3*,"ssk, k6, k2 tog, k1",*,k2
738,Crown of Glory,Multiple of 14 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=738,6,W,P2*,"p1, p2 tog, p6",*,p3
738,Crown of Glory,Multiple of 14 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=738,7,R,K3*,"k1, (yo, k1) 6 times, k1",*,k2
738,Crown of Glory,Multiple of 14 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=738,8,W,*,purl,*,
738,Crown of Glory,Multiple of 14 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=738,9,R,*,knit,*,
738,Crown of Glory,Multiple of 14 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=738,10,W,*,purl,*,
738,Crown of Glory,Multiple of 14 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=738,11,R,*,knit,*,
738,Crown of Glory,Multiple of 14 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=738,12,W,*,purl,*,
