StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
746,Picot Eyelet Diamond,Multiple of 28 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=746,1,R,*,knit,*,
746,Picot Eyelet Diamond,Multiple of 28 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=746,2,W,*,purl,*,
746,Picot Eyelet Diamond,Multiple of 28 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=746,3,R,K2*,"(k2 tog, yo twice, ssk) 3 times, (k4, k2 tog, yo twice, ssk) twice",*,"(k2 tog, yo twice, ssk) twice, k2"
746,Picot Eyelet Diamond,Multiple of 28 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=746,4,W,*,"Purl, working (p1, k1) into each double yo",*,
746,Picot Eyelet Diamond,Multiple of 28 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=746,5,R,*,knit,*,
746,Picot Eyelet Diamond,Multiple of 28 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=746,6,W,*,purl,*,
746,Picot Eyelet Diamond,Multiple of 28 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=746,7,R,"K2, yo, ssk*","(k2 tog, yo twice, ssk) twice, k4, (k2 tog, yo twice, ssk) twice, k4, k2 tog, yo twice, ssk",*,"k2 tog, yo twice, ssk, k2 tog, yo, k2"
746,Picot Eyelet Diamond,Multiple of 28 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=746,8,W,*,"Purl, working one purl into each single yo and (p1, k1) into each double yo",*,
746,Picot Eyelet Diamond,Multiple of 28 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=746,9,R,*,knit,*,
746,Picot Eyelet Diamond,Multiple of 28 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=746,10,W,*,purl,*,
746,Picot Eyelet Diamond,Multiple of 28 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=746,11,R,K2*,"(k2 tog, yo twice, ssk) twice, k4, (k2 tog, yo twice, ssk) 3 times, k4",*,"(k2 tog, yo twice, ssk) twice, k2"
746,Picot Eyelet Diamond,Multiple of 28 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=746,12,W,*,"Purl, working (p1, k1) into each double yo",*,
746,Picot Eyelet Diamond,Multiple of 28 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=746,13,R,*,knit,*,
746,Picot Eyelet Diamond,Multiple of 28 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=746,14,W,*,purl,*,
746,Picot Eyelet Diamond,Multiple of 28 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=746,15,R,K4*,"k2 tog, yo twice, ssk, k4, (k2 tog, yo twice, ssk) 4 times, k4",*,"K2 tog, yo twice, ssk, k4"
746,Picot Eyelet Diamond,Multiple of 28 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=746,16,W,*,"Purl, working (p1, k1) into each double yo",*,
746,Picot Eyelet Diamond,Multiple of 28 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=746,17,R,*,knit,*,
746,Picot Eyelet Diamond,Multiple of 28 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=746,18,W,*,purl,*,
746,Picot Eyelet Diamond,Multiple of 28 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=746,19,R,K2*,"k8, (k2 tog, yo twice, ssk) 5 times",*,k10
