StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
748,Rosebud,Multiple of 16 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=748,1,W,*,purl,*,
748,Rosebud,Multiple of 16 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=748,2,R,K10*,"k2 tog, yo, k1, yo, ssk, k11",*,k10
748,Rosebud,Multiple of 16 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=748,3,W,*,purl,*,
748,Rosebud,Multiple of 16 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=748,4,R,K9*,"k2 tog, yo, k3, yo, ssk, k9",*,
748,Rosebud,Multiple of 16 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=748,5,W,*,purl,*,
748,Rosebud,Multiple of 16 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=748,6,R,K10*,"yo, ssk, yo, k3 tog, yo, k11",*,k10
748,Rosebud,Multiple of 16 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=748,7,W,*,purl,*,
748,Rosebud,Multiple of 16 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=748,8,R,K11*,"yo, sl 1-k2 tog-psso, yo, k13",*,k11
748,Rosebud,Multiple of 16 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=748,9,W,*,purl,*,
748,Rosebud,Multiple of 16 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=748,10,R,K2*,"K2 tog, yo, k1, yo, ssk, k11",*,k2
748,Rosebud,Multiple of 16 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=748,11,W,*,purl,*,
748,Rosebud,Multiple of 16 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=748,12,R,K1*,"K2 tog, yo, k3, yo, ssk, k9",*,k1
748,Rosebud,Multiple of 16 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=748,13,W,*,purl,*,
748,Rosebud,Multiple of 16 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=748,14,R,k2*,"yo, ssk, yo, k3 tog, yo, k11",*,k2
748,Rosebud,Multiple of 16 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=748,15,W,*,purl,*,
748,Rosebud,Multiple of 16 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=748,16,R,K3*,"yo, sl 1-k2 tog-psso, yo, k13",*,k3
