StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
753,Duece,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=753,1,R,K2*,"yo, k2 tog",*,k2
753,Duece,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=753,2,W,*,knit,*,
753,Duece,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=753,3,R,K1*,"k2 tog, yo, ssk, k6",*,k1
753,Duece,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=753,4,W,K2*,"(k1, p1) into the yo of previous row, k8",*,k2
753,Duece,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=753,5,R,k4*,"k2 tog, yo, ssk, k6",*,k2
753,Duece,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=753,6,W,K9*,"(k1, p1) into the yo, k8",*,k5
753,Duece,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=753,7,R,K1*,"k2 tog, yo, ssk, k6",*,k1
753,Duece,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=753,8,W,K2*,"(k1, p1) into the yo of previous row, k8",*,k2
753,Duece,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=753,9,R,*,knit,*,
753,Duece,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=753,10,W,*,knit,*,
753,Duece,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=753,11,R,K1*,"k2 tog, yo, ssk, k6",*,k1
753,Duece,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=753,12,W,K2*,"(k1, p1) into the yo of previous row, k8",*,k2
753,Duece,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=753,13,R,K8*,"k2 tog, yo, ssk, k6",*,k4
753,Duece,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=753,14,W,K5*,"(k1, p1) into the yo, k8",*,k1
753,Duece,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=753,15,R,K1*,"k2 tog, yo, ssk, k6",*,k1
753,Duece,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=753,16,W,K2*,"(k1, p1) into the yo of previous row, k8",*,k2
