StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
756,Five-Spot,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=756,1,R,K2*,"yo, k2 tog",*,k2
756,Five-Spot,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=756,2,W,*,knit,*,
756,Five-Spot,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=756,3,R,K1*,"k2 tog, yo, ssk, k6",*,k1
756,Five-Spot,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=756,4,W,K2*,"(k1, p1) into the yo of the previous row, k8",*,k2
756,Five-Spot,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=756,5,R,K4*,"(k2 tog, yo, ssk) twice, k2",*,k2
756,Five-Spot,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=756,6,W,K5*,"(k1, p1) into the yo, k2, (k1, p1) into the yo, k4",*,k1
756,Five-Spot,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=756,7,R,K1*,"k2 tog, yo, ssk, k6",*,k1
756,Five-Spot,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=756,8,W,K2*,"(k1, p1) into the yo of the previous row, k8",*,k2
756,Five-Spot,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=756,9,R,K6*,"k2 tog, yo, ssk, k6",*,
756,Five-Spot,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=756,10,W,K7*,"(k1, p1) into the yo, k8",*,k7
756,Five-Spot,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=756,11,R,K1*,"k2 tog, yo, ssk, k6",*,k1
756,Five-Spot,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=756,12,W,K2*,"(k1, p1) into the yo of the previous row, k8",*,k2
756,Five-Spot,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=756,13,R,K4*,"(k2 tog, yo, ssk) twice, k2",*,k2
756,Five-Spot,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=756,14,W,K5*,"(k1, p1) into the yo, k2, (k1, p1) into the yo, k4",*,k1
756,Five-Spot,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=756,15,R,K1*,"k2 tog, yo, ssk, k6",*,k1
756,Five-Spot,Multiple of 10 stitches,plus 6 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=756,16,W,K2*,"(k1, p1) into the yo of the previous row, k8",*,k2
