StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
787,Checkered Acre,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=787,1,W,*,purl,*,
787,Checkered Acre,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=787,2,R,K2*,"yo, k2 tog, k4, ssk, yo, k2",*,
787,Checkered Acre,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=787,3,W,*,purl,*,
787,Checkered Acre,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=787,4,R,K2*,"yo, k2 tog, k4, ssk, yo, k2",*,
787,Checkered Acre,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=787,5,W,*,purl,*,
787,Checkered Acre,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=787,6,R,K2*,"yo, k2 tog, k4, ssk, yo, k2",*,
787,Checkered Acre,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=787,7,W,*,purl,*,
787,Checkered Acre,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=787,8,R,K2*,"yo, k2 tog, k4, ssk, yo, k2",*,
787,Checkered Acre,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=787,9,W,*,purl,*,
787,Checkered Acre,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=787,10,R,K3*,"ssk, yo, k2, yo, k2 tog, k4",*,k3
787,Checkered Acre,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=787,11,W,*,purl,*,
787,Checkered Acre,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=787,12,R,K3*,"ssk, yo, k2, yo, k2 tog, k4",*,k3
787,Checkered Acre,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=787,13,W,*,purl,*,
787,Checkered Acre,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=787,14,R,K3*,"ssk, yo, k2, yo, k2 tog, k4",*,k3
787,Checkered Acre,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=787,15,W,*,purl,*,
787,Checkered Acre,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=787,16,R,K3*,"ssk, yo, k2, yo, k2 tog, k4",*,k3
