StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
7,Broken Block,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=7,1,R,"p3, k5"
7,Broken Block,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=7,2,W,"p5, k3"
7,Broken Block,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=7,3,R,"p3, k5"
7,Broken Block,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=7,4,W,"p5, k3"
7,Broken Block,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=7,5,R,"p3, k5"
7,Broken Block,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=7,6,W,"p5, k3"
7,Broken Block,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=7,7,R,"k5, p3"
7,Broken Block,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=7,8,W,"k3, p5"
7,Broken Block,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=7,9,R,"k5, p3"
7,Broken Block,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=7,10,W,"k3, p5"
7,Broken Block,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=7,11,R,"k5, p3"
7,Broken Block,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=7,12,W,"k3, p5"
