StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
805,Madeira Wave,Multiple of 12 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=805,1,R,K2*,"yo, ssk, k10",*,"yo, ssk, k1"
805,Madeira Wave,Multiple of 12 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=805,2,W,*,purl,*,
805,Madeira Wave,Multiple of 12 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=805,3,R,K2*,"k1, yo, ssk, k7, k2 tog, yo",*,k3
805,Madeira Wave,Multiple of 12 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=805,4,W,*,purl,*,
805,Madeira Wave,Multiple of 12 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=805,5,R,K2*,"k2, yo, ssk, k5, k2 tog, yo, k1",*,k3
805,Madeira Wave,Multiple of 12 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=805,6,W,*,purl,*,
805,Madeira Wave,Multiple of 12 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=805,7,R,K2*,"k3, yo, ssk, k3, k2 tog, yo, k2",*,k3
805,Madeira Wave,Multiple of 12 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=805,8,W,*,purl,*,
805,Madeira Wave,Multiple of 12 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=805,9,R,K2*,"k4, yo, ssk, k1, k2 tog, yo, k3",*,k3
805,Madeira Wave,Multiple of 12 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=805,10,W,*,purl,*,
805,Madeira Wave,Multiple of 12 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=805,11,R,K2*,"k5, yo, sl 1-k2 tog-psso, yo, k4",*,k3
805,Madeira Wave,Multiple of 12 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=805,12,W,*,purl,*,
805,Madeira Wave,Multiple of 12 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=805,13,R,K2*,"k2, yo, ssk",*,k3
805,Madeira Wave,Multiple of 12 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=805,14,W,"K2, p1*","p2, yo, p2 tog",*,k2
805,Madeira Wave,Multiple of 12 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=805,15,R,K2*,"k2, yo, ssk",*,k3
805,Madeira Wave,Multiple of 12 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=805,16,W,"K2, p1*","p2, yo, p2 tog",*,k2
805,Madeira Wave,Multiple of 12 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=805,17,R,K2*,"k2, yo, ssk",*,k3
805,Madeira Wave,Multiple of 12 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=805,18,W,"K2, p1*","p2, yo, p2 tog",*,k2
805,Madeira Wave,Multiple of 12 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=805,19,R,K2*,"k2, yo, ssk",*,k3
805,Madeira Wave,Multiple of 12 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=805,20,W,"K2, p1*","p2, yo, p2 tog",*,k2
805,Madeira Wave,Multiple of 12 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=805,21,R,K2*,"k2, yo, ssk",*,k3
805,Madeira Wave,Multiple of 12 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=805,22,W,"K2, p1*","p2, yo, p2 tog",*,k2
805,Madeira Wave,Multiple of 12 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=805,23,R,K2*,"k2, yo, ssk",*,k3
