StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
812,Lace Chevron Continental Style,Multiple of 20 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=812,1,R,K1*,"yo, ssk, k15, k2 tog, yo, k1",*,
812,Lace Chevron Continental Style,Multiple of 20 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=812,2,W,P2*,"yo, p2 tog, p13, p2 tog-b, yo, p3",*,p2
812,Lace Chevron Continental Style,Multiple of 20 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=812,3,R,K3*,"yo, ssk, k11, k2 tog, yo, k5",*,k3
812,Lace Chevron Continental Style,Multiple of 20 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=812,4,W,P4*,"yo, p2 tog, p9, p2 tog-b, yo, p7",*,p4
812,Lace Chevron Continental Style,Multiple of 20 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=812,5,R,K5*,"yo, ssk, k7, k2 tog, yo, k9",*,k5
812,Lace Chevron Continental Style,Multiple of 20 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=812,6,W,P6*,"yo, p2 tog, p5, p2 tog-b, yo, p11",*,p6
812,Lace Chevron Continental Style,Multiple of 20 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=812,7,R,K7*,"yo, ssk, k3, k2 tog, yo, k13",*,k7
812,Lace Chevron Continental Style,Multiple of 20 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=812,8,W,P8*,"yo, p2 tog, p1, p2 tog-b, yo, p15",*,k8
812,Lace Chevron Continental Style,Multiple of 20 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=812,9,R,K9*,"yo, sl 1-k2 tog-psso, yo, k17",*,k9
812,Lace Chevron Continental Style,Multiple of 20 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=812,10,W,*,purl,*,
