StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
819,Crest of the Wave,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=819,1,R,*,knit,*
819,Crest of the Wave,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=819,2,W,*,knit,*
819,Crest of the Wave,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=819,3,R,*,knit,*
819,Crest of the Wave,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=819,4,W,*,knit,*
819,Crest of the Wave,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=819,5,R,K1*,"(k2 tog) twice, (yo, k1) 3 times, yo, (ssk) twice, k1",*
819,Crest of the Wave,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=819,6,W,*,purl,*
819,Crest of the Wave,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=819,7,R,K1*,"(k2 tog) twice, (yo, k1) 3 times, yo, (ssk) twice, k1",*
819,Crest of the Wave,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=819,8,W,*,purl,*
819,Crest of the Wave,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=819,9,R,K1*,"(k2 tog) twice, (yo, k1) 3 times, yo, (ssk) twice, k1",*
819,Crest of the Wave,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=819,10,W,*,purl,*
819,Crest of the Wave,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=819,11,R,K1*,"(k2 tog) twice, (yo, k1) 3 times, yo, (ssk) twice, k1",*
819,Crest of the Wave,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=819,12,W,*,purl,*
