StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
826,Fir Cone,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=826,1,W,*,purl,*,
826,Fir Cone,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=826,2,R,K1*,"yo, k3, sl 1-k2 tog-psso, k3, yo, k1",*,
826,Fir Cone,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=826,3,W,*,purl,*,
826,Fir Cone,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=826,4,R,K1*,"yo, k3, sl 1-k2 tog-psso, k3, yo, k1",*,
826,Fir Cone,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=826,5,W,*,purl,*,
826,Fir Cone,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=826,6,R,K1*,"yo, k3, sl 1-k2 tog-psso, k3, yo, k1",*,
826,Fir Cone,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=826,7,W,*,purl,*,
826,Fir Cone,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=826,8,R,K1*,"yo, k3, sl 1-k2 tog-psso, k3, yo, k1",*,
826,Fir Cone,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=826,9,W,*,purl,*,
826,Fir Cone,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=826,10,R,K2 tog*,"k3, yo, k1, yo, k3, sl 1-k2 tog-psso",*,"k3, yo, k1, yo, k3, ssk"
826,Fir Cone,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=826,11,W,*,purl,*,
826,Fir Cone,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=826,12,R,K2 tog*,"k3, yo, k1, yo, k3, sl 1-k2 tog-psso",*,"k3, yo, k1, yo, k3, ssk"
826,Fir Cone,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=826,13,W,*,purl,*,
826,Fir Cone,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=826,14,R,K2 tog*,"k3, yo, k1, yo, k3, sl 1-k2 tog-psso",*,"k3, yo, k1, yo, k3, ssk"
826,Fir Cone,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=826,15,W,*,purl,*,
826,Fir Cone,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=826,16,R,K2 tog*,"k3, yo, k1, yo, k3, sl 1-k2 tog-psso",*,"k3, yo, k1, yo, k3, ssk"
