StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
831,Shell Lace 1,Multiple of 11 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=831,1,W,*,purl,*,
831,Shell Lace 1,Multiple of 11 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=831,2,R,K2 tog*,"k5, yo, k1, yo, k2, sl 1-k2 tog-psso",*,ssk
831,Shell Lace 1,Multiple of 11 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=831,3,W,*,purl,*,
831,Shell Lace 1,Multiple of 11 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=831,4,R,K2 tog*,"k4, yo, k3, yo, k1, sl 1-k2 tog-psso",*,ssk
831,Shell Lace 1,Multiple of 11 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=831,5,W,*,purl,*,
831,Shell Lace 1,Multiple of 11 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=831,6,R,K2 tog*,"k3, yo, k5, yo, sl 1-k2 tog-psso",*,ssk
831,Shell Lace 1,Multiple of 11 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=831,7,W,*,purl,*,
831,Shell Lace 1,Multiple of 11 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=831,8,R,K2 tog*,"k2, yo, k1, yo, k5, sl 1-k2 tog-psso",*,ssk
831,Shell Lace 1,Multiple of 11 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=831,9,W,*,purl,*,
831,Shell Lace 1,Multiple of 11 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=831,10,R,K2 tog*,"k1, yo, k3, yo, k4, sl 1-k2-tog-psso",*,ssk
831,Shell Lace 1,Multiple of 11 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=831,11,W,*,purl,*,
831,Shell Lace 1,Multiple of 11 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=831,12,R,K2 tog*,"yo, k5, yo, k3, sl 1-k2 tog-psso",*,ssk
