StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
838,Trellis-Framed Openwork Diamonds,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=838,1,W,*,purl,*,
838,Trellis-Framed Openwork Diamonds,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=838,2,R,K1*,"k1, (k2 tog, yo) twice, k1, (yo, ssk) twice, k2",*,
838,Trellis-Framed Openwork Diamonds,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=838,3,W,*,purl,*,
838,Trellis-Framed Openwork Diamonds,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=838,4,R,K1*,"(k2 tog, yo) twice, k3, (yo, ssk) twice, k1",*,
838,Trellis-Framed Openwork Diamonds,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=838,5,W,*,purl,*,
838,Trellis-Framed Openwork Diamonds,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=838,6,R,K2 tog*,"yo, k2 tog, yo, k5, yo, ssk, yo, sl 1-k2 tog-psso",*,ssk
838,Trellis-Framed Openwork Diamonds,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=838,7,W,*,purl,*,
838,Trellis-Framed Openwork Diamonds,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=838,8,R,K1*,"(yo, ssk) twice, k3, (k2 tog, yo) twice, k1",*,
838,Trellis-Framed Openwork Diamonds,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=838,9,W,*,purl,*,
838,Trellis-Framed Openwork Diamonds,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=838,10,R,K1*,"k1, (yo, ssk) twice, k1, (k2 tog, yo) twice, k2",*,
838,Trellis-Framed Openwork Diamonds,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=838,11,W,*,purl,*,
838,Trellis-Framed Openwork Diamonds,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=838,12,R,K1*,"k2, yo, ssk, yo, sl 1-k2 tog-psso, yo, k2 tog, yo, k3",*,
