StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *,End Row
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,1,R,B,k1*,"(sl 1 wyif, sl 1 wyib) twice, sl 1 wyif, k5",*,"k1, then sl sts to other end of needle"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,2,W,A,k1*,"k5, sl 5 wyib",*,"k1, then turn"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,3,R,B,k1*,"p5, (sl 1 wyif, sl 1 wyob) twice, sl 1 wyif",*,"k1, then turn"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,4,W,A,k1*,"sl 5 wyif, p5",*,"k1, then turn"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,5,R,B,k1*,"(sl 1 wyif, sl 1 wyib) twice, sl 1 wyif, k5",*,"k1, then sl sts to other end of needle"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,6,W,A,k1*,"k5, sl 5 wyib",*,"k1, then turn"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,7,R,B,k1*,"p5, (sl 1 wyif, sl 1 wyob) twice, sl 1 wyif",*,"k1, then turn"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,8,W,A,k1*,"sl 5 wyif, p5",*,"k1, then turn"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,9,R,B,k1*,"(sl 1 wyif, sl 1 wyib) twice, sl 1 wyif, k5",*,"k1, then sl sts to other end of needle"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,10,W,A,k1*,"k5, (sl 1 wyif, sl 1 wyib) twice, sl 1 wyif",*,"k1, then turn"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,11,R,B,k1*,"p5, sl 5 wyif",*,"k1, then sl sts to other end of needle"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,12,W,A,k1*,"(sl 1 wyif, sl 1 wyib) twice, sl 1 wyif, p5",*,"k1, then turn"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,13,R,B,k1*,"sl 5 wyib, k5",*,"k1, sl sts to other end of needle"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,14,W,A,k1*,"k5, (sl 1 wyif, sl 1 wyib) twice, sl 1 wyif",*,"k1, then turn"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,15,R,B,k1*,"p5, sl 5 wyif",*,"k1, then sl sts to other end of needle"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,16,W,A,k1*,"(sl 1 wyif, sl 1 wyib) twice, sl 1 wyif, p5",*,"k1, then turn"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,17,R,B,k1*,"sl 5 wyib, k5",*,"k1, sl sts to other end of needle"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,18,W,A,k1*,"k5, (sl 1 wyif, sl 1 wyib) twice, sl 1 wyif",*,"k1, then turn"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,19,R,B,k1*,"p5, (sl 1 wyib, sl 1 wyif) twice, sl 1 wyib",*,"k1, then sl sts to other end of needle"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,20,W,A,k1*,"sl 5 wyif, p5",*,"k1, then turn"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,21,R,B,k1*,"(sl 1 wyib, sl 1 wyif) twice, sl 1 wyib, k5",*,"k1, then sl sts to other end of the needle"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,22,W,A,k1*,"k5, sl 5 wyib",*,"k1, then turn"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,23,R,B,k1*,"p5, (sl 1 wyib, sl 1 wyif) twice, sl 1 wyib",*,"k1, then sl sts to other end of needle"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,24,W,A,k1*,"sl 5 wyif, p5",*,"k1, then turn"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,25,R,B,k1*,"(sl 1 wyib, sl 1 wyif) twice, sl 1 wyib, k5",*,"k1, then sl sts to other end of the needle"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,26,W,A,k1*,"k5, sl 5 wyib",*,"k1, then turn"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,27,R,B,k1*,"p5, (sl 1 wyib, sl 1 wyif) twice, sl 1 wyib",*,"k1, then sl sts to other end of needle"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,28,W,A,k1*,"(sl 1 wyib, sl 1 wyif) twice, sl 1 wyib, p5",*,"k1, then turn"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,29,R,B,k1*,"sl 5 wyib, k5",*,"k1, then sl sts to other end of needle"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,30,W,A,k1*,"K5, (sl 1 wyib, sl 1 wyif) twice, sl 1 wyib",*,"k1, then turn"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,31,R,B,k1*,"p5, sl 5 wyif",*,"k1, then sl sts to other end of the needle"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,32,W,A,k1*,"(sl 1 wyib, sl 1 wyif) twice, sl 1 wyib, p5",*,"k1, then turn"
83,Woven Plaid,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=83,33,R,B,k1*,"sl 5 wyib, k5",*,"k1, then sl sts to other end of needle"
