StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
846,Split Leaf,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=846,1,R,P1*,"k2 tog, k3, yo, k1, yo, k3 ssk, p1",*,
846,Split Leaf,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=846,2,W,K1*,"p11, k1",*,
846,Split Leaf,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=846,3,R,P1*,"k2 tog, k2, yo, k3, yo, k2, ssk, p1",*,
846,Split Leaf,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=846,4,W,K1*,"p11, k1",*,
846,Split Leaf,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=846,5,R,P1*,"k2 tog, k1, yo, k5, yo, k1, ssk, p1",*,
846,Split Leaf,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=846,6,W,K1*,"p11, k1",*,
846,Split Leaf,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=846,7,R,P1*,"k2 tog, yo, k7, yo, ssk, p1",*,
846,Split Leaf,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=846,8,W,K1*,"p11, k1",*,
846,Split Leaf,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=846,9,R,K1*,"yo, k3, ssk, p1, k2 tog, k3, yo, k1",*,
846,Split Leaf,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=846,10,W,P6*,"k1, p11",*,"k1, p6"
846,Split Leaf,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=846,11,R,K2*,"yo, k2, ssk, p1, k2 tog, k2, yo, k3",*,k2
846,Split Leaf,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=846,12,W,P6*,"k1, p11",*,"k1, p6"
846,Split Leaf,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=846,13,R,K3*,"yo, k1, ssk, p1, k2 tog, k1, yo, k5",*,k3
846,Split Leaf,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=846,14,W,P6*,"k1, p11",*,"k1, p6"
846,Split Leaf,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=846,15,R,K4*,"yo, ssk, p1, k2 tog, yo, k7",*,k4
846,Split Leaf,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=846,16,W,P6*,"k1, p11",*,"k1, p6"
