StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
853,Fleurette 1,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=853,1,W,*,purl,*,
853,Fleurette 1,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=853,2,R,K2*,"k1, yo, ssk, k1, k2 tog, yo",*,k3
853,Fleurette 1,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=853,3,W,*,purl,*,
853,Fleurette 1,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=853,4,R,K4*,"yo, k3",*,k1
853,Fleurette 1,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=853,5,W,*,purl,*,
853,Fleurette 1,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=853,6,R,"K2, k2 tog*","yo, ssk, k1, k2 tog, yo, sl 2 knitwise-k1-p2sso",*,"yo, ssk, k1, k2 tog, yo, ssk, k2"
853,Fleurette 1,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=853,7,W,*,purl,*,
853,Fleurette 1,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=853,8,R,K2*,"k1, k2 tog, yo, k1, yo, ssk",*,k3
853,Fleurette 1,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=853,9,W,*,purl,*,
853,Fleurette 1,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=853,10,R,K4*,"yo, k3",*,k1
853,Fleurette 1,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=853,11,W,*,purl,*,
853,Fleurette 1,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=853,12,R,K2*,"k1, k2 tog, yo, sl 2 knitwise-k1-p2sso, yo, ssk",*,k3
