StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
855,Lace Diamond Chain 1,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=855,1,W,purl
855,Lace Diamond Chain 1,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=855,2,R,"K6, yo, ssk, k2, yo, ssk, k6"
855,Lace Diamond Chain 1,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=855,3,W,purl
855,Lace Diamond Chain 1,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=855,4,R,"K4, k2-tog, yo, k1, yo, ssk, k2, yo, ssk, k5"
855,Lace Diamond Chain 1,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=855,5,W,purl
855,Lace Diamond Chain 1,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=855,6,R,"K3, k2-tog, yo, k3, yo, ssk, k2, yo, ssk, k4"
855,Lace Diamond Chain 1,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=855,7,W,purl
855,Lace Diamond Chain 1,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=855,8,R,"(K2, k2-tog, yo) twice, k1, yo, ssk, k2, yo, ssk, k3"
855,Lace Diamond Chain 1,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=855,9,W,purl
855,Lace Diamond Chain 1,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=855,10,R,"K1, k2-tog, yo, k2, k2-tog, yo, k3, (yo, ssk, k2) twice"
855,Lace Diamond Chain 1,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=855,11,W,purl
855,Lace Diamond Chain 1,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=855,12,R,"K3, yo, ssk, k2, yo, ssk, k1, k2-tog, yo, k2, k2-tog, yo, k2"
855,Lace Diamond Chain 1,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=855,13,W,purl
855,Lace Diamond Chain 1,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=855,14,R,"K4, yo, ssk, k2, yo, sl 1-k2 tog-psso, yo, k2, k2-tog, yo, k3"
855,Lace Diamond Chain 1,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=855,15,W,purl
855,Lace Diamond Chain 1,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=855,16,R,"K5, yo, ssk, k2, yo, ssk, k1, k2-tog, yo, k4"
