StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
867,Shetland Twins 1,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=867,1,R,K1*,"k4, k2-tog, yo, k1, yo, ssk, k5",*
867,Shetland Twins 1,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=867,2,W,P1*,"p3, p2-tog-b, yo, p3, yo, p2-tog, p4",*
867,Shetland Twins 1,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=867,3,R,K1*,"k2, (k2-tog, yo) twice, k1, (yo, ssk) twice, k3",*
867,Shetland Twins 1,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=867,4,W,P1*,"p1, (p2-tog-b, yo) twice, p3, (yo, p2-tog) twice, p2",*
867,Shetland Twins 1,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=867,5,R,K1*,"(k2-tog, yo, k2, yo, ssk, k1) twice",*
867,Shetland Twins 1,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=867,6,W,P1*,"yo, p2-tog, p3, yo, p3-tog, yo, p3, p2-tog-b, yo, p1",*
867,Shetland Twins 1,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=867,7,R,K1*,"(yo, ssk, k2, k2-tog, yo, k1) twice",*
867,Shetland Twins 1,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=867,8,W,P1*,"yo, p2-tog, p1, p2-tog-b, yo, p3, yo, p2-tog, p1, p2-tog-b, yo, p1",*
867,Shetland Twins 1,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=867,9,R,K1*,"yo, ssk, k2, yo, ssk, k1, k2-tog, yo, k2, k2-tog, yo, k1",*
867,Shetland Twins 1,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=867,10,W,P1*,"yo, p2-tog, p3, yo, p3-tog, yo, p3, p2-tog-b, yo, p1",*
867,Shetland Twins 1,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=867,11,R,K1*,"(yo, ssk, k2, k2-tog, yo, k1) twice",*
867,Shetland Twins 1,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=867,12,W,P1*,"yo, p2-tog, p1, p2-tog-b, yo, p3, yo, p2-tog, p1, p2-tog-b, yo, p1",*
867,Shetland Twins 1,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=867,13,R,K1*,"(k1, yo, ssk) twice, k1, (k2-tog, yo, k1) twice, k1",*
867,Shetland Twins 1,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=867,14,W,P1*,"p2, yo, p2 tog, p1, yo, p3 tog, yo, p1, p2 tog-b, yo, p3",*
867,Shetland Twins 1,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=867,15,R,K1*,"k3, yo, ssk, k3, k2 tog, yo, k4",*
867,Shetland Twins 1,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=867,16,W,P1*,"p4, yo, p2 tog, p1, p2 tog-b, yo, p5",*
867,Shetland Twins 1,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=867,17,R,K1*,"k5, yo, sl 1-k2 tog-psso, yo, k6",*
867,Shetland Twins 1,Multiple of 14 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=867,18,W,*,purl,*
