StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
899,Elongated Wave Cable,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=899,1,W,"K2, p4, k2"
899,Elongated Wave Cable,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=899,2,R,"P2, slip next 2 stitches to dpn and hold in back; k2, then k2 from dpn' p2"
899,Elongated Wave Cable,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=899,3,W,"K2, p4, k2"
899,Elongated Wave Cable,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=899,4,R,"P2, k4, p2"
899,Elongated Wave Cable,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=899,5,W,"K2, p4, k2"
899,Elongated Wave Cable,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=899,6,R,"P2, k4, p2"
899,Elongated Wave Cable,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=899,7,W,"K2, p4, k2"
899,Elongated Wave Cable,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=899,8,R,"P2, k4, p2"
899,Elongated Wave Cable,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=899,9,W,"K2, p4, k2"
899,Elongated Wave Cable,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=899,10,R,"P2, slip next 2 stitches to dpn and hold in front; k2 then k2 from dpn; p2"
899,Elongated Wave Cable,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=899,11,W,"K2, p4, k2"
899,Elongated Wave Cable,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=899,12,R,"P2, k4, p2"
899,Elongated Wave Cable,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=899,13,W,"K2, p4, k2"
899,Elongated Wave Cable,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=899,14,R,"P2, k4, p2"
899,Elongated Wave Cable,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=899,15,W,"K2, p4, k2"
899,Elongated Wave Cable,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=899,16,R,"P2, k4, p2"
