StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
907,Triple Gull-Stitch Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=907,1,R,"P2, k6, p2"
907,Triple Gull-Stitch Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=907,2,W,"K2, p6, k2"
907,Triple Gull-Stitch Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=907,3,R,"P2, k6, p2"
907,Triple Gull-Stitch Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=907,4,W,"K2, p2, sl 2 wyif, p2, k2"
907,Triple Gull-Stitch Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=907,5,R,"P2, slip next 2 stitches to dpn and hold in back, k1, k2 from dpn; slip next stitch to dpn and hold in front, k2, k the stitch from dpn, p2"
907,Triple Gull-Stitch Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=907,6,W,"K2, p2, sl 2 wyif, p2, k2"
907,Triple Gull-Stitch Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=907,7,R,"P2, slip next 2 stitches to dpn and hold in back, k1, k2 from dpn; slip next stitch to dpn and hold in front, k2, k the stitch from dpn, p2"
907,Triple Gull-Stitch Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=907,8,W,"K2, p2, sl 2 wyif, p2, k2"
907,Triple Gull-Stitch Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=907,9,R,"P2, slip next 2 stitches to dpn and hold in back, k1, k2 from dpn; slip next stitch to dpn and hold in front, k2, k the stitch from dpn, p2"
907,Triple Gull-Stitch Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=907,10,W,"K2, p6, k2"
907,Triple Gull-Stitch Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=907,11,R,"P2, k6, p2"
907,Triple Gull-Stitch Cable,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=907,12,W,"K2, p6, k2"
