StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
927,Hourglass Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=927,1,W,"K4, p1-b, k1, p2-b, k1, p1-b, k4"
927,Hourglass Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=927,2,R,"P3, (BC) twice, (FC twice), p3"
927,Hourglass Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=927,3,W,knit all the knit stitches and purl-b all the purl stitches
927,Hourglass Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=927,4,R,"P2, BC, slip next stitch to dpn and hold in back, k1-b, then k1-b from dpn; p2, slip next stitch to dpn and hold in front, k1-b, then k1-b from dpn; FC, p2"
927,Hourglass Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=927,5,W,knit all the knit stitches and purl-b all the purl stitches
927,Hourglass Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=927,6,R,"P1, (BC) twice, FC, BC, (FC) twice, p1"
927,Hourglass Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=927,7,W,knit all the knit stitches and purl-b all the purl stitches
927,Hourglass Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=927,8,R,"(P1, k1-b) twice, p2, k2-b, p2, (k1-b, p1) twice"
927,Hourglass Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=927,9,W,knit all the knit stitches and purl-b all the purl stitches
927,Hourglass Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=927,10,R,"P1, (FC) twice, BC, FC, (BC) twice, p1"
927,Hourglass Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=927,11,W,knit all the knit stitches and purl-b all the purl stitches
927,Hourglass Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=927,12,R,"P2, (FC) twice, p2, (BC) twice, p2"
927,Hourglass Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=927,13,W,knit all the knit stitches and purl-b all the purl stitches
927,Hourglass Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=927,14,R,"P3, (FC) twice, (BC) twice, p3"
927,Hourglass Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=927,15,W,knit all the knit stitches and purl-b all the purl stitches
927,Hourglass Cable,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=927,16,R,"P4, k1-b, p1, k2-b, p1, k1-b, p4"
