StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
929,Aran Diamonds with Popcorns,Multiple of 19 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=929,1,W,"P1, k3, Popcorn Increase, k2, p2, k1, p2, k2, Popcorn Increase, k3, p1"
929,Aran Diamonds with Popcorns,Multiple of 19 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=929,2,R,"K1, p3, Popcorn Decrease, p2, slip next 3 stitches to dpn and hold in front; k2, slip the purl stitch from the dpn back to left-hand needle and purl it; then k2 from dpn; p2, Popcorn Decrease, p3, k1"
929,Aran Diamonds with Popcorns,Multiple of 19 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=929,3,W,"P1, k6, p2, k1, p2, k6, p1"
929,Aran Diamonds with Popcorns,Multiple of 19 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=929,4,R,"K1, p5, BC, p1, FC, p5, k1"
929,Aran Diamonds with Popcorns,Multiple of 19 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=929,5,W,"P1, k5, p2, k3, p2, k5, p1"
929,Aran Diamonds with Popcorns,Multiple of 19 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=929,6,R,"K1, p4, BC, p3, FC, p4, k1"
929,Aran Diamonds with Popcorns,Multiple of 19 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=929,7,W,"P1, k4, p2, k2, Popcorn Increase, k2, p2, k4, p1"
929,Aran Diamonds with Popcorns,Multiple of 19 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=929,8,R,"K1, p3, BC, p2, Popcorn Decrease, p2, FC, p3, k1"
929,Aran Diamonds with Popcorns,Multiple of 19 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=929,9,W,"P1, k3, p2, k7, p2, k3, p1"
929,Aran Diamonds with Popcorns,Multiple of 19 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=929,10,R,"K1, p2, BC, p7, FC, p2, k1"
929,Aran Diamonds with Popcorns,Multiple of 19 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=929,11,W,"P1, k2, p2, k2, Popcorn Increase, k3, Popcorn Increase, k2, p2, k2, p1"
929,Aran Diamonds with Popcorns,Multiple of 19 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=929,12,R,"k1, p1, BC, p2, Popcorn Decrease, p3, Popcorn Decrease, p2, FC, p1, k1"
929,Aran Diamonds with Popcorns,Multiple of 19 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=929,13,W,"P1, k1, p2, k11, p2, k1, p1"
929,Aran Diamonds with Popcorns,Multiple of 19 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=929,14,R,"K1, p1, k2, p11, k2, p1, k1"
929,Aran Diamonds with Popcorns,Multiple of 19 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=929,15,W,"P1, k1, p2, k3, Popcorn Increase, k3, Popcorn Increase, k3, p2, k1, p1"
929,Aran Diamonds with Popcorns,Multiple of 19 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=929,16,R,"K1, p1, FC, p2, Popcorn Decrease, p3, Popcorn Decrease, p2, BC, p1, k1"
929,Aran Diamonds with Popcorns,Multiple of 19 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=929,17,W,"P1, k2, p2, k9, p2, k2, p1"
929,Aran Diamonds with Popcorns,Multiple of 19 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=929,18,R,"K1, p2, FC, p7, BC, p2, k1"
929,Aran Diamonds with Popcorns,Multiple of 19 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=929,19,W,"P1, k3, p2, k3, Popcorn Increase, k3, p2, k3, p1"
929,Aran Diamonds with Popcorns,Multiple of 19 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=929,20,R,"K1, p3, FC, p2, Popcorn Decrease, p2, BC, p3, k1"
929,Aran Diamonds with Popcorns,Multiple of 19 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=929,21,W,"P1, k4, p2, k5, p2, k4, p1"
929,Aran Diamonds with Popcorns,Multiple of 19 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=929,22,R,"K1, p4, FC, p3, BC, p4, k1"
929,Aran Diamonds with Popcorns,Multiple of 19 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=929,23,W,"P1, k5, p2, k3, p2, k5, p1"
929,Aran Diamonds with Popcorns,Multiple of 19 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=929,24,R,"K1, p5, FC, p1, BC, p5, k1"
